GI_ASCAT	nbAlter	nbChr	runTime
24.0833333333333	17	12	34.0618131160736
84.375	45	24	29.8383519649506
36.1	19	10	37.5734720230103
36.75	21	12	38.1981949806213
60.75	27	12	36.3935151100159
23.1428571428571	18	14	35.7709019184113
18	12	8	38.2414488792419
6	6	6	39.847757101059
12.5	10	8	36.7508769035339
36.75	21	12	39.1096529960632
45.125	19	8	31.3841421604156
96.1	31	10	37.8312239646912
15.3636363636364	13	11	37.4610249996185
24.0666666666667	19	15	32.7082190513611
16.9	13	10	33.5823919773102
416.894736842105	89	19	32.8002960681915
23.2727272727273	16	11	38.6778931617737
44.3076923076923	24	13	31.1437091827393
12.1	11	10	42.5773508548737
8.16666666666667	7	6	47.831475019455
