sample	GI_CGHcall	nbAlter_CGHcall	nbChr_CGHcall	runTime_CGHcall
1-RV	6.25	5,00	4,00	18.05
2-AD	13.4444444444444	11,00	9,00	18.05
3-ES	14.4	12,00	10,00	18.05
4-GM	11.5714285714286	9,00	7,00	18.05
5-LD	13.4444444444444	11,00	9,00	18.05
6-VJ	40,00	20,00	10,00	18.05
7-DG	18.75	15,00	12,00	18.05
8-MM	5.33333333333333	4,00	3,00	18.05
9-LA	7.2	6,00	5,00	18.05
10-CB	7,00	7,00	7,00	18.05
11-BG	36,00	18,00	9,00	18.05
12-BC	60.5	22,00	8,00	18.05
13-VT	78.125	25,00	8,00	18.05
14-CJ	8,00	8,00	8,00	18.05
15-GG	24.1428571428571	13,00	7,00	18.05
16-DD	9.14285714285714	8,00	7,00	18.05
17-VV	4.5	3,00	2,00	18.05
18-JA	21.7777777777778	14,00	9,00	18.05
19-BF	10,00	10,00	10,00	18.05
20-CJ	15.125	11,00	8,00	18.05
21-DC	16.6666666666667	10,00	6,00	18.05
