gamma	ploidy.ASCAT	ploidy.Median	ploidy.Most.width	ploidy.Width.weighted	aberrant.cell.fraction	GoF	psi
0.35	1.62785927284177	2	2	1.63365579402079	0.87	99.3512426838235	2
0.4	1.71066937082106	2	2	1.7108815385177	0.85	99.3895037111851	2
0.45	1.744313867126	2	2	1.74200449634969	0.83	99.402286007173	2
0.5	1.74937952621733	2	2	1.74666215106677	0.82	99.4148393338599	2
0.55	1.74937952621733	2	2	1.74666215106677	0.81	99.406715195673	2
0.6	1.74937952621733	2	2	1.74666215106677	0.79	99.4044948629021	2
0.65	1.8031847900576	2	2	1.80718697748781	0.78	99.3988539707377	2
0.7	1.80327739808487	2	2	1.80721771083742	0.77	99.3884057894358	2
0.75	1.80298105239762	2	2	1.80685483781607	0.77	99.3748229966361	2
0.8	1.80298105239762	2	2	1.80685483781607	0.76	99.3727243815717	2
0.85	1.80298105239762	2	2	1.80685483781607	0.75	99.3654894672765	2
0.9	1.80298105239762	2	2	1.80630424064742	0.74	99.3468658964706	2
0.95	1.80298105239762	2	2	1.80630424064742	0.74	99.3433914348761	2
