Chromosome	Start	End	Value	nbProbes
chr1	754192	22906267	-0.416096018480283	1905
chr1	22933053	23849366	-0.388068474727908	95
chr1	23870170	36818086	-0.474858995117953	1061
chr1	36847766	38367424	-0.393695044720127	127
chr1	38380285	49574595	-0.48198467669845	1011
chr1	49591523	50110870	0.0776300651011129	41
chr1	50128198	50596477	0.155280951215325	31
chr1	50605337	58767449	0.0919757762163408	600
chr1	58773286	73783976	-0.525513064401993	1179
chr1	73794664	75122644	0.0072604427528378	89
chr1	75144633	75722992	0.0512841835973221	39
chr1	75742597	76259864	-0.500578867431311	38
chr1	76265890	78510564	0.0501668472215805	166
chr1	78514024	79319454	-0.531721774866809	56
chr1	79323495	81578663	-0.0472618323302573	156
chr1	81590255	105370901	-0.514432276122736	1800
chr1	105397180	121350954	0.0904907088300207	1316
chr1	144009053	181230789	0.0724388683895253	2877
chr1	181235009	182928226	0.202364406218549	126
chr1	182942202	249212898	0.0438045998572095	5082
chr2	21494	973179	0.285434228913991	71
chr2	1001060	90245055	0.0835751586265787	6708
chr2	91866487	95429217	0.163195889260842	2
chr2	95431369	211750318	0.0695050821328674	8836
chr2	211764228	217686293	-0.0141078244621082	671
chr2	217708938	243052351	0.123439681167365	1810
chr3	63411	13182955	0.0680519577365766	1119
chr3	13199243	14665353	0.225732721394244	115
chr3	14688875	43659469	0.0563723844268288	2142
chr3	43682950	56012998	0.137295662056916	1042
chr3	56018873	73822731	0.0968400546278272	1679
chr3	73835569	90473641	0.00637455382276499	1219
chr3	93517443	170027871	0.0442390950167167	5496
chr3	170029236	197852584	0.024081589646432	2220
chr4	69404	11100050	0.158905011105242	690
chr4	11100735	49092474	0.0506249277952551	2629
chr4	52684891	190915670	0.0775244639060107	10065
chr5	38139	11730834	0.134050618417485	823
chr5	11738472	12885297	0.0549477002196379	76
chr5	12895945	18435466	0.0971719679059342	360
chr5	18455773	46401291	0.0379222726032906	1976
chr5	49441966	68828392	0.058747556977955	1385
chr5	70306678	180698332	0.0717907013414842	7734
chr6	204909	58770522	0.0757728480812545	4493
chr6	61886393	170913071	0.0622206392782067	8208
chr7	41421	58025443	0.0729854795299984	4488
chr7	61064518	159118463	0.050814094555672	7479
chr8	172417	2391235	0.187351885142621	148
chr8	2416120	7004167	0.0658580517305788	896
chr8	8094763	43767554	0.0634839378762934	2821
chr8	46896972	112412902	0.0586674052236254	4776
chr8	112414762	113008339	-0.00870015052916128	40
chr8	113027843	127422110	0.0355543537834813	1760
chr8	127438387	138891998	-0.541684322029559	938
chr8	138901399	146292754	-0.515850907781139	566
chr9	204738	39184085	0.0738100550553662	3216
chr9	44098813	68170441	0.0355155911886576	5
chr9	70984372	137585947	0.0775548291906293	5012
chr9	137594279	141054781	0.343697727044579	292
chr10	126070	4756607	-0.0115982230939909	387
chr10	4769379	5681058	0.0345737777860849	60
chr10	5705900	39146696	-0.0726432090981462	2390
chr10	42413322	72294856	0.0189750718908156	2033
chr10	72313015	124277037	0.0997295449771033	4051
chr10	124281349	135434323	0.185088271638285	770
chr11	192764	12611869	-0.506009499338132	961
chr11	12621033	28583235	-0.492801570078954	1127
chr11	28606699	29969994	-0.529776051131107	92
chr11	29985549	37675347	-0.498524673643632	558
chr11	37688849	42705666	-0.488535590471813	335
chr11	42721045	47864862	-0.522381594685641	387
chr11	47872012	51575971	-0.44309672538094	201
chr11	54795357	64610704	-0.490174487887171	719
chr11	64614053	72415988	-0.428102331467363	701
chr11	72431679	87336656	-0.476605781040196	1105
chr11	87346836	88985026	-0.599720226081793	135
chr11	88991306	108038497	-0.521865336113541	1376
chr11	108054082	110592653	-0.453933395036996	263
chr11	110610686	113967037	-0.435821122574303	257
chr11	113975446	117152560	-0.409020933638621	252
chr11	117156552	118405397	-0.474991281601755	120
chr11	118411424	134938867	-0.448833721437861	1355
chr12	189400	6470280	0.0681102997804573	631
chr12	6490381	34828231	0.0340329143787776	2218
chr12	37902988	133818135	0.0555214852049175	7491
chr13	19084823	115103170	-0.0534350260849554	7931
chr14	20219083	26877040	-0.511523868592035	585
chr14	26887454	30483149	-0.531157402660724	239
chr14	30498689	52690654	-0.523405104746931	1586
chr14	52706159	55655712	-0.511567962663489	230
chr14	55664889	66196968	-0.52870460250255	818
chr14	66200458	67810053	0.0564682521853402	200
chr14	67830856	81519882	-0.549957117910247	1067
chr14	81524255	82445829	-0.554419494381279	70
chr14	82464577	83950206	-0.459625918239984	100
chr14	83958911	106526241	-0.0337142013838893	1717
chr14	106529011	106560866	-0.8009305282494	9
chr14	106572892	107282044	0.0105903109123029	132
chr15	20161372	20212818	-0.467597098650544	6
chr15	22752399	59539542	-0.540263016622318	2620
chr15	59543909	72539478	-0.510844634495812	974
chr15	72543084	74258281	-0.523758730785937	118
chr15	74261055	95702786	-0.512752091129586	1707
chr15	95721415	102397337	-0.531693719594022	584
chr16	83887	35271745	0.0847452717461744	2497
chr16	46461309	86306204	0.0818973847958659	2967
chr16	86325854	90158025	0.192350887977335	367
chr17	400959	22217903	0.0767909370698136	1740
chr17	25326941	80263447	0.0839682514529454	4670
chr18	12842	15377491	-0.52327157720521	1072
chr18	18554307	26236998	-0.487558038090951	600
chr18	26251068	56627618	0.0737492678627915	2309
chr18	56642783	72102680	0.0307000405569803	1214
chr18	72103646	78007804	0.120371006996568	399
chr19	247232	24544340	0.0475342943227307	2120
chr19	27754573	33454555	0.0943074990233315	419
chr19	33460933	59093259	0.0154221835295875	2294
chr20	69094	21490171	0.0569497491503923	2293
chr20	21512532	26309275	0.114986029902677	305
chr20	29519156	56582351	0.101686090582702	2043
chr20	56596617	62912483	0.185250700204194	448
chr21	9648315	10964159	0.00991636132362998	8
chr21	14344537	48097630	0.0719465999707323	2339
chr22	16054713	24346448	-0.321190947176431	700
chr22	24346658	24394108	-2.01785294997859	20
chr22	24396598	44679782	-0.346150784923719	1595
chr22	44696374	51213846	-0.235721531057098	479
