Chromosome	Start	End	Value	nbProbes
1	754192	930397	1	13
1	950677	179678631	0	12469
1	179689532	221247876	1	3119
1	221270457	249212898	-1	2199
2	21494	243052351	0	18102
3	63411	197852584	0	15037
4	69404	190915670	1	13387
5	38139	180698332	1	12360
6	204909	170913071	0	12704
7	41421	46076095	0	3491
7	46089002	46098502	-2	2
7	46120720	159118463	0	8482
8	172417	90922124	1	7096
8	90930168	90931354	-2	2
8	90939625	146292754	1	4851
9	204738	141054781	0	8531
10	126070	135434323	0	9695
11	192764	39474399	-1	2860
11	39494123	94692919	1	3845
11	94722715	117260095	-1	1775
11	117287794	127148669	0	839
11	127165412	127294979	-1	10
11	127317894	134938867	0	618
12	189400	133818135	0	10345
13	19084823	115103170	0	7934
14	20219083	30431145	-1	821
14	30459451	33388959	0	267
14	33407292	82830239	-1	3735
14	82833609	107282044	1	1933
15	20161372	55534362	0	2309
15	55560425	102397337	1	3703
16	83887	90158025	0	5834
17	400959	80263447	0	6413
18	12842	78007804	0	5595
19	247232	59093259	0	4835
20	69094	62912483	0	5091
21	9648315	48097630	0	2349
22	16054713	51213846	0	2796
