Chromosome	Start	End	Value	nbProbes
chr1	754192	68290966	-0.00122066063791603	5666
chr1	68291402	121350954	-0.051299828187084	4044
chr1	144009053	179678631	-0.0227336677195698	2769
chr1	179689532	180113216	0.558538924074416	29
chr1	180113970	183373685	0.408155175833164	252
chr1	183380407	192586876	0.267966559463699	696
chr1	192621580	200437526	0.232016418932081	558
chr1	200446885	221277528	0.318414616906893	1586
chr1	221293049	249212898	-0.673151641556233	2195
chr2	21494	90245055	-0.0205266489561044	6779
chr2	91866487	95429217	0.00727017612115135	2
chr2	95431369	201645369	-0.0603162216282945	8124
chr2	201659862	209074655	0.0141033631795101	524
chr2	209075793	216673992	-0.134771697202886	800
chr2	216694061	233874419	0.00189492491511678	1227
chr2	233897101	243052351	0.0547673921145913	642
chr3	63411	7426527	-0.074763521910879	534
chr3	7440056	18438178	0.00678481922636837	953
chr3	18451858	32670377	-0.0727796932876093	1079
chr3	32688253	33200527	0.206614641360231	36
chr3	33206420	73763214	0.0214900345088332	3492
chr3	73769858	90473641	-0.135690407037825	1222
chr3	93517443	120893409	-0.109962858896593	1964
chr3	120914512	142234554	-0.0134075178038421	1576
chr3	142241325	148406819	-0.158713737300467	419
chr3	148432469	193358754	-0.0825080335391656	3412
chr3	193374384	197852584	0.0180806433259909	345
chr4	69404	28052919	0.678831157254225	1841
chr4	28064697	37651175	0.54547170228091	634
chr4	37665280	49092474	0.646307776591459	844
chr4	52684891	58883346	0.743212565100725	539
chr4	58884128	67856943	0.574825484019544	722
chr4	67876678	140643342	0.65475393514157	5034
chr4	140648875	155525296	0.675067436106416	1319
chr4	155543369	183024097	0.619803757846117	1876
chr4	183047776	190915670	0.718244479865196	575
chr5	38139	18973135	0.361061659276412	1293
chr5	18990844	30984892	0.234285976078605	799
chr5	30999730	44587258	0.33106284344057	1025
chr5	44593167	46401291	0.250979081401361	118
chr5	49441966	57726999	0.296689248964781	583
chr5	57730241	61838810	0.379669148965236	290
chr5	61860188	68828392	0.318853594725577	512
chr5	70306678	77882836	0.326410604294885	494
chr5	77910931	82783928	0.293935864302654	320
chr5	82789647	150594822	0.312279751208454	4774
chr5	150611876	151738632	0.340542826521413	76
chr5	151751433	180698332	0.336095019716019	2070
