Chromosome	Start	End	Value	nbProbes
1	754192	147234115	-0.94005	9902
1	147238599	249212898	-0.01235	7898
2	21494	78737142	-0.94005	6077
2	78740761	112822324	-0.341255485560148	2020
2	112844091	243052351	-0.01235	10005
3	63411	197852584	-0.01235	15037
4	69404	190915670	-0.01235	13387
5	38139	180698332	-0.01235	12360
6	204909	170913071	-0.01235	12704
7	41421	159118463	-0.01235	11975
8	172417	146292754	-0.01235	11949
9	204738	141054781	-0.01235	8531
10	126070	135434323	-0.01235	9695
11	192764	134938867	-0.94005	9947
12	189400	133818135	-0.01235	10345
13	19084823	115103170	-0.94005	7934
14	20219083	107282044	-0.94005	6756
15	20161372	102397337	-0.94005	6012
16	83887	90158025	-0.01235	5834
17	400959	80263447	-0.01235	6413
18	12842	78007804	-0.01235	5595
19	247232	59093259	-0.01235	4835
20	69094	62912483	-0.01235	5091
21	9648315	48097630	-0.01235	2349
22	16054713	51213846	-0.94005	2796
