Chromosome	Start	End	Value	nbProbes
chr1	754192	12867067	-0.28600870245762	1088
chr1	12903548	15107543	-0.235692521230752	102
chr1	15115776	36984332	-0.287154588786243	1895
chr1	36990158	38367424	-0.2438390025154	103
chr1	38380285	120360018	-0.294562237736268	6461
chr1	120373264	121350954	-0.356877234071443	61
chr1	144009053	145414478	-0.240022284804797	61
chr1	145428332	181907888	0.060372877848261	2862
chr1	181921568	189191963	0.0441024126635715	592
chr1	189219596	232773920	0.0205503614616641	3262
chr1	232795105	249212898	0.0567988559413801	1308
chr2	21494	3062258	0.156851162191982	204
chr2	3066698	90245055	0.0549122478794022	6575
chr2	91866487	95429217	-0.347731060743046	2
chr2	95431369	96184443	-0.168116936228899	41
chr2	96187935	140786048	-0.302255048526095	3106
chr2	140810785	142559684	-0.245349630898857	759
chr2	142560146	193586507	-0.285655462911582	3686
chr2	193605903	234925541	-0.215083928590115	3152
chr2	234940630	241524939	-0.173312613695956	445
chr2	241531737	243052351	-0.352999763590904	128
chr3	63411	90473641	0.0576162224547566	7316
chr3	93517443	96314035	0.0902759376804813	186
chr3	96337591	197852584	0.0448774688783748	7530
chr4	69404	49092474	0.0665536238687377	3319
chr4	52684891	190915670	0.0819292078949573	10065
chr5	38139	45796960	0.0659545298434802	3196
chr5	45816686	46401291	-0.240315351692057	39
chr5	49441966	68828392	0.0555639639423852	1385
chr5	70306678	102790363	0.0423322932284229	2170
chr5	102810287	180698332	0.0557156617492231	5564
chr6	204909	58770522	-0.295499093120388	4493
chr6	61886393	124068462	-0.290174492101793	4609
chr6	124097321	134738606	-0.297263876309439	753
chr6	134757127	137662497	-0.296492823215896	210
chr6	137692288	167130283	-0.299824391070032	2364
chr6	167152526	170913071	-0.262986803867263	272
chr7	41421	8237831	0.00901730288335933	688
chr7	8239909	58025443	0.0519695424581588	3800
chr7	61064518	62427286	-0.293835977422045	31
chr7	62461384	159118463	0.0331160613870975	7448
chr8	172417	7004167	-0.245141422509308	1044
chr8	8094763	43767554	-0.281346469226199	2821
chr8	46896972	47553577	0.00942542556162401	45
chr8	47572540	85431698	0.309266803230244	2825
chr8	85444025	96516286	0.259960953680153	757
chr8	96523611	116170597	0.300051271662902	1985
chr8	116195862	117613820	0.252036842884919	133
chr8	117620064	143219505	0.284646233852324	2094
chr8	143237163	146292754	0.13128620926919	241
chr9	204738	15900791	0.131195858948417	1379
chr9	15919177	39184085	0.0684345314236422	1837
chr9	44098813	44893114	-0.0200161495627519	4
chr9	68170421	70984392	-0.0624435210569917	2
chr9	70990396	103064173	0.0770708700233512	2421
chr9	103078464	104501587	0.0836563689615536	94
chr9	104506675	128216739	0.0379066081790417	1658
chr9	128218097	141054781	-0.000673113587012803	1130
chr10	126070	39146696	0.0545963632712963	2837
chr10	42413322	43136909	-0.184236671479172	36
chr10	43153845	46965171	0.00407400589514071	234
chr10	46966348	47030571	0.601775207736684	11
chr10	47033319	47611651	0.403122494075841	27
chr10	47619334	47702180	0.608181231709364	10
chr10	47702691	135434323	0.0742442472009816	6536
chr11	192764	14998623	-0.0402346063778896	1125
chr11	15003073	50417569	0.03596989028486	2490
chr11	50423570	51575971	-0.229534275404774	46
chr11	54795357	134938867	0.0185054052255008	6283
chr12	189400	33400254	0.0447877403911202	2750
chr12	33407614	34533104	0.129272496532432	77
chr12	34545307	34828231	-0.323507632192079	22
chr12	37902988	38436255	-0.252867428853633	31
chr12	38443942	133818135	0.0569525324402121	7460
chr13	19084823	20115474	-0.403682990328805	67
chr13	20119336	68097880	-0.264053309766009	3822
chr13	68105591	73224516	-0.263921296920141	347
chr13	73237355	115103170	-0.259966014657306	3695
chr14	20219083	22582417	-0.304703420476424	247
chr14	22586392	23299155	-0.371347102960663	103
chr14	23318880	102052795	-0.279962567988008	5835
chr14	102067658	107282044	-0.311686238256162	568
chr15	20161372	20212818	0.144853646021005	6
chr15	22752399	102397337	0.0636143488463353	6003
chr16	83887	35271745	0.0796757159257353	2497
chr16	46461309	90158025	0.0743009327485776	3334
chr17	400959	22217903	0.0508764969803652	1740
chr17	25326941	48883151	0.0427189845078163	2140
chr17	48893818	78539110	0.091695965504915	2264
chr17	78543155	80263447	-0.0275626988987844	266
chr18	12842	15377491	0.0704356054942686	1072
chr18	18554307	78007804	0.0882206404915429	4522
chr19	247232	24544340	0.00418678006975944	2120
chr19	27754573	28330928	-0.281997616796657	32
chr19	28337270	59093259	0.0441379285366509	2681
chr20	69094	26309275	0.0475177103069148	2598
chr20	29519156	62912483	0.0836541331929782	2491
chr21	9648315	10964159	-0.434148746463129	8
chr21	14344537	48097630	0.0544248079983917	2339
chr22	16054713	51213846	0.0248998163171411	2794
