Chromosome	Start	End	Value	nbProbes
1	754192	145264898	-1	9761
1	145266108	174835765	0	2317
1	174857981	177930116	-1	269
1	177948578	180901142	0	222
1	180915596	185089031	-1	325
1	185110367	187090604	0	183
1	187100171	190683412	-1	251
1	190695904	190985300	0	23
1	191005777	193747602	-1	211
1	193774083	249212898	0	4238
2	21494	6674067	0	467
2	6697088	9831380	-1	210
2	9839536	11184934	0	90
2	11200347	17341123	-1	534
2	17351241	30770754	0	1191
2	30784540	32414994	-1	110
2	32424019	34689455	0	158
2	34701638	34725225	-2	3
2	34741001	138141676	0	6995
2	138150690	141768436	-1	757
2	141769366	243052351	0	7587
3	63411	17473366	-1	1424
3	17488124	83279574	0	5411
3	83282771	121103522	-1	2462
3	121141208	124411942	0	224
3	124437299	124880328	-1	30
3	124889327	125097058	0	14
3	125102644	125441514	-1	22
3	125452990	130491825	0	348
3	130499302	135823097	-1	438
3	135842507	141362245	0	419
3	141377330	158681036	-1	1223
3	158687562	197852584	0	3022
4	69404	190915670	0	13387
5	38139	180698332	0	12360
6	204909	170913071	0	12704
7	41421	159118463	0	11975
8	172417	90922124	0	7096
8	90930168	90931354	-2	2
8	90939625	146292754	0	4851
9	204738	141054781	0	8531
10	126070	135434323	0	9695
11	192764	134938867	0	9947
12	189400	133818135	0	10345
13	19084823	115103170	0	7934
14	20219083	107282044	0	6756
15	20161372	102397337	-1	6012
16	83887	90158025	0	5834
17	400959	80263447	0	6413
18	12842	78007804	-1	5595
19	247232	59093259	0	4835
20	69094	62912483	0	5091
21	9648315	48097630	0	2349
22	16054713	24341408	-1	700
22	24346428	24388258	1	19
22	24390318	47071880	-1	1803
22	47095618	47864784	1	54
22	47881317	51213846	-1	220
