Chromosome	Start	End	Value	nbProbes
1	754192	249212898	-0.0309	17800
2	21494	243052351	-0.0309	18102
3	63411	197852584	-0.0309	15037
4	69404	190915670	-0.0309	13387
5	38139	180698332	-0.0309	12360
6	204909	170913071	-0.0309	12704
7	41421	159118463	-0.0309	11975
8	172417	39223676	-0.0309	3501
8	39239834	39383020	-6.09625	10
8	39397015	146292754	-0.0309	8438
9	204738	141054781	-0.0309	8531
10	126070	135434323	-0.0309	9695
11	192764	15311001	-0.48165	1149
11	15326860	134938867	-0.0309	8798
12	189400	133818135	-0.0309	10345
13	19084823	115103170	-0.0309	7934
14	20219083	107282044	-2.78590307800405	6756
15	20161372	102397337	-0.0309	6012
16	83887	2240361	-0.48165	183
16	2242336	90158025	-0.0309	5651
17	400959	46608875	-0.0309	3606
17	46609918	64450496	0.123	1514
17	64468354	80263447	-0.0309	1293
18	12842	78007804	-0.0309	5595
19	247232	59093259	-0.0309	4835
20	69094	62912483	-0.0309	5091
21	9648315	48097630	-0.0309	2349
22	16054713	23805150	0.123	650
22	23815573	24086127	-0.973441135095939	17
22	24088324	24341408	0.297679740274839	33
22	24346428	24396618	-6.09625	22
22	24398768	51213846	-0.0309	2074
