Chromosome	Start	End	Value	nbProbes
1	754192	249212898	-1	17800
2	21494	34689455	-1	2760
2	34701638	34725225	-2	3
2	34741001	91866507	-1	4018
2	95429197	243052351	1	11321
3	63411	197852584	1	15037
4	69404	190915670	1	13387
5	38139	180698332	1	12360
6	204909	170913071	1	12704
7	41421	159118463	NA	11975
8	172417	90922124	1	7096
8	90930168	146292754	-2	4853
9	204738	141054781	1	8531
10	126070	135434323	1	9695
11	192764	134938867	NA	9947
12	189400	866228	NA	70
12	868828	873038	-2	6
12	876288	133818135	1	10269
13	19084823	57748990	1	3187
13	57760137	57776791	-2	2
13	57797989	115103170	1	4745
14	20219083	107282044	1	6756
15	20161372	102397337	1	6012
16	83887	90158025	1	5834
17	400959	80263447	1	6413
18	12842	78007804	1	5595
19	247232	59093259	NA	4835
20	69094	62912483	1	5091
21	9648315	48097630	1	2349
22	16054713	51213846	1	2796
