Chromosome	Start	End	Value	nbProbes
1	754192	145264898	-0.861	9761
1	145266108	174835765	0.022	2317
1	174857981	177930116	-0.869	269
1	177948578	180901142	-0.046	222
1	180915596	185089031	-0.921	325
1	185110367	187090604	-0.057	183
1	187100171	190683412	-0.879	251
1	190695904	190985300	0.122	23
1	191005777	193747602	-0.88	211
1	193774083	249212898	-0.049	4238
2	21494	6674067	0.037	467
2	6697088	9831380	-0.984	210
2	9839536	11184934	-0.064	90
2	11200347	17341123	-0.893	534
2	17351241	30770754	0.016	1191
2	30784540	32414994	-0.979	110
2	32424019	34689455	-0.059	158
2	34701638	34725225	-3.704	3
2	34741001	138141676	-0.029	6995
2	138150690	141768436	-0.799	757
2	141769366	243052351	0.004	7587
3	63411	17473366	-0.861	1424
3	17488124	83279574	0.036	5411
3	83282771	121103522	-0.928	2462
3	121141208	124411942	0.015	224
3	124437299	124880328	-1.082	30
3	124889327	125097058	-0.178	14
3	125102644	125441514	-1.047	22
3	125452990	130491825	-0.014	348
3	130499302	135823097	-0.917	438
3	135842507	141362245	0.045	419
3	141377330	158681036	-0.942	1223
3	158687562	197852584	-0.055	3022
4	69404	190915670	0.018	13387
5	38139	180698332	-0.022	12360
6	204909	170913071	-0.014	12704
7	41421	159118463	-0.041	11975
8	172417	90922124	0.026	7096
8	90930168	90931354	-3.769	2
8	90939625	146292754	-0.001	4851
9	204738	141054781	0.026	8531
10	126070	135434323	-0.003	9695
11	192764	134938867	-0.047	9947
12	189400	133818135	0	10345
13	19084823	115103170	-0.041	7934
14	20219083	107282044	0.047	6756
15	20161372	102397337	-0.875	6012
16	83887	90158025	0.018	5834
17	400959	80263447	0.009	6413
18	12842	78007804	-0.824	5595
19	247232	59093259	-0.047	4835
20	69094	33173847	-0.021	2886
20	33186480	33197509	-4.412	2
20	33212055	62912483	0.041	2203
21	9648315	48097630	0.053	2349
22	16054713	24341408	-0.799	700
22	24346428	24388258	0.425	19
22	24390318	47071880	-0.838	1803
22	47095618	47864784	0.28	54
22	47881317	51213846	-0.776	220
