Chromosome	Start	End	Value	nbProbes
1	754192	8015580	-0.0306	628
1	8030300	10768022	-1.82965	218
1	10787538	12295208	-0.0306	208
1	12342599	72014213	-1.82965	4879
1	72025716	249212898	-0.0306	11867
2	21494	34689455	-0.0306	2760
2	34701638	34725225	-6.4099	3
2	34741001	243052351	-0.0306	15339
3	63411	197852584	-0.0306	15037
4	69404	190915670	-0.0306	13387
5	38139	180698332	-0.0306	12360
6	204909	170913071	-0.0306	12704
7	41421	159118463	-0.0306	11975
8	172417	39254394	-0.0306	3503
8	39274995	39313524	-6.4099	4
8	39329000	146292754	-0.0306	8442
9	204738	141054781	-0.0306	8531
10	126070	135434323	-0.0306	9695
11	192764	134938867	-0.0306	9947
12	189400	133818135	-0.0306	10345
13	19084823	115103170	-0.0306	7934
14	20219083	107282044	-0.0306	6756
15	20161372	33779511	0.303125928701039	671
15	33788629	34671081	-0.0306	72
15	34729987	34808793	-6.4099	6
15	34870223	39845035	-0.0306	378
15	39850191	41359239	-1.09275	172
15	41376148	102397337	-1.82965	4713
16	83887	90158025	-0.0306	5834
17	400959	8354853	-1.364	713
17	8360460	80263447	-0.0306	5700
18	12842	11412232	-0.0306	829
18	11435446	11703255	-1.82965	17
18	11712839	26901336	-0.0306	869
18	26919393	33398931	-1.82965	467
18	33408318	42736888	-0.0306	633
18	42751755	44529623	-1.364	125
18	44536304	45951359	-0.0306	98
18	45961714	50791980	-1.82965	515
18	50792601	65231579	-0.0306	1166
18	65248907	68992602	-1.82965	270
18	69008029	78007804	-0.0306	606
19	247232	5359231	-0.0306	493
19	5372802	17900178	-1.09275	1113
19	17906839	59093259	-0.0306	3229
20	69094	62912483	-0.0306	5091
21	9648315	48097630	-0.0306	2349
22	16054713	51213846	-0.0306	2796
