Chromosome	Start	End	Value	nbProbes
1	754192	249212898	-0.014	17800
2	21494	243052351	0.002	18102
3	63411	197852584	-0.001	15037
4	69404	190915670	0.033	13387
5	38139	180698332	-0.025	12360
6	204909	170913071	-0.007	12704
7	41421	46076095	-0.024	3491
7	46089002	46098502	-3.581	2
7	46120720	159118463	-0.027	8482
8	172417	90922124	0.004	7096
8	90930168	90931354	-3.72	2
8	90939625	146292754	-0.024	4851
9	204738	141054781	0.008	8531
10	126070	135434323	0.011	9695
11	192764	134938867	-0.041	9947
12	189400	133818135	-0.009	10345
13	19084823	115103170	0.002	7934
14	20219083	20400600	0.732	10
14	20425220	107282044	-0.645	6746
15	20161372	102397337	0.02	6012
16	83887	90158025	0.001	5834
17	400959	80263447	0	6413
18	12842	78007804	0.008	5595
19	247232	59093259	-0.01	4835
20	69094	33173847	-0.031	2886
20	33186480	33197509	-4.556	2
20	33212055	62912483	0.011	2203
21	9648315	48097630	0.006	2349
22	16054713	51213846	-0.01	2796
