Chromosome	Start	End	Value	nbProbes
chr1	754192	121350954	-0.681063852639828	9710
chr1	144009053	146588959	-0.261539802029256	96
chr1	146589758	192267586	0.0253663430511972	3629
chr1	192283229	249212898	-0.0132741155035042	4360
chr2	21494	90245055	-0.57918615248839	6779
chr2	91866487	95429217	-0.345295006736799	2
chr2	95431369	217803776	0.0596089603089685	9514
chr2	217810502	243052351	0.0999712084596131	1803
chr3	63411	81558158	0.0336601235010572	6730
chr3	81580696	90473641	-0.0285814192922765	586
chr3	93517443	197852584	-0.000298273317741791	7716
chr4	69404	26883784	0.0479070171721071	1762
chr4	26906436	49092474	-0.0111371927482272	1557
chr4	52684891	190915670	0.0349692871672876	10065
chr5	38139	8935891	0.0490308778593874	636
chr5	8955823	46401291	-0.00745135698444554	2599
chr5	49441966	68828392	0.00419838084048611	1385
chr5	70306678	98181140	-0.00822774215403743	1865
chr5	98193164	100807328	0.0168211603392912	172
chr5	100815995	180698332	0.00611401781781724	5697
chr6	204909	58770522	0.00991820859353447	4493
chr6	61886393	165209336	0.00528972429926168	7804
chr6	165212767	170913071	0.0857920472977637	404
chr7	41421	58025443	0.00891184756907337	4488
chr7	61064518	159118463	-0.00576476210788304	7479
chr8	172417	7004167	0.0217125089887323	1044
chr8	8094763	43767554	-0.00761839153540234	2821
chr8	46896972	144966263	0.00301539851472623	7964
chr8	144968996	146292754	-0.171873597402469	116
chr9	204738	39184085	0.0243151058410564	3216
chr9	44098813	68170441	0.0683787121241663	5
chr9	70984372	141054781	0.0177811698786803	5304
chr10	126070	37923203	0.0097092741349499	2776
chr10	37940440	39146696	0.0908882391463903	61
chr10	42413322	135434323	0.036661741213136	6854
chr11	192764	51575971	-0.00344665918427147	3661
chr11	54795357	134938867	0.00510911942873367	6283
chr12	189400	34828231	-0.00418263023830022	2849
chr12	37902988	133818135	5.71519835073659e-05	7491
chr13	19084823	115103170	0.00843073595469615	7931
chr14	20219083	107282044	0.0222459123146324	6753
chr15	20161372	20212818	-0.0307558844159817	6
chr15	22752399	78402021	0.0188955943824292	4045
chr15	78417184	79084700	0.162713933721942	111
chr15	79084933	102397337	0.0359506830496136	1847
chr16	83887	35271745	0.0244835956001874	2497
chr16	46461309	90158025	0.0203988693042027	3334
chr17	400959	22217903	0.0211140267020844	1740
chr17	25326941	80263447	0.0188522461034425	4670
chr18	12842	15377491	0.0069666817463098	1072
chr18	18554307	68973520	0.0122462439784181	3915
chr18	68992582	78007804	0.0557641688745609	607
chr19	247232	19597075	-0.00687703884780533	1801
chr19	19619542	24544340	0.0502434041907898	319
chr19	27754573	59093259	0.0171411748552335	2713
chr20	69094	26309275	0.0180557199464151	2598
chr20	29519156	62912483	0.0324055888738133	2491
chr21	9648315	10964159	-0.0663367475965825	8
chr21	14344537	48097630	0.0239346282135078	2339
chr22	16054713	51213846	0.0181220013112563	2794
