Chromosome	Start	End	Value	nbProbes
1	754192	172492518	0.018	11912
1	172510937	198618520	0.5693	1982
1	198622043	221247876	0.85035	1707
1	221270457	224440488	-0.171	211
1	224472815	249212898	-1.6941	1988
2	21494	129153940	0.018	9246
2	129168671	215059698	-0.171	6857
2	215073935	243052351	0.018	1999
3	63411	197852584	0.018	15037
4	69404	190915670	1.78116436086855	13387
5	38139	20197052	0.98625	1375
5	20201290	124377861	0.85035	6908
5	124381966	180698332	0.98625	4077
6	204909	51087851	0.018	3930
6	51097410	154294610	-0.171	7410
6	154312116	170913071	0.018	1364
7	41421	73470734	0.018	5237
7	73480569	126680520	-0.171	4126
7	126686055	159118463	0.018	2612
8	172417	146292754	1.74281919651844	11949
9	204738	141054781	0.018	8531
10	126070	135434323	0.018	9695
11	192764	39474399	-1.6941	2860
11	39494123	93556007	0.98625	3771
11	93575056	94692919	-1.02695	74
11	94722715	117257896	-1.6941	1774
11	117260075	134938867	0.018	1468
12	189400	133818135	0.018	10345
13	19084823	49114553	0.018	2621
13	49131769	98373352	-0.171	3612
13	98381813	115103170	0.018	1701
14	20219083	30033384	-1.6941	794
14	30052033	39186679	-1.02695	707
14	39196039	82830239	-1.6941	3322
14	82833609	107282044	0.98625	1933
15	20161372	51548764	0.018	2014
15	51550807	60370170	0.5693	668
15	60388777	102397337	1.15210423107324	3330
16	83887	90158025	0.018	5834
17	400959	80263447	0.018	6413
18	12842	78007804	0.018	5595
19	247232	59093259	0.018	4835
20	69094	62912483	0.018	5091
21	9648315	48097630	0.018	2349
22	16054713	51213846	0.018	2796
