Chromosome	Start	End	Value	nbProbes
1	754192	1564214	-1	54
1	1592881	1628926	-2	4
1	1647814	145095497	-1	9692
1	145115883	249212898	0	8050
2	21494	243052351	0	18102
3	63411	93517463	0	7320
3	93530364	197852584	-1	7717
4	69404	190915670	0	13387
5	38139	180698332	1	12360
6	204909	103728178	0	7456
6	103737920	103753814	-2	2
6	103766477	170913071	0	5246
7	41421	46076095	0	3491
7	46089002	46098502	-2	2
7	46120720	159118463	0	8482
8	172417	146292754	0	11949
9	204738	141054781	0	8531
10	126070	135434323	0	9695
11	192764	134938867	0	9947
12	189400	133818135	0	10345
13	19084823	115103170	0	7934
14	20219083	41604154	-1	1653
14	41626649	41657147	-2	3
14	41673714	107282044	-1	5100
15	20161372	102397337	-1	6012
16	83887	90158025	0	5834
17	400959	22217903	-1	1741
17	25326941	80263447	0	4672
18	12842	78007804	0	5595
19	247232	59093259	0	4835
20	69094	62912483	0	5091
21	9648315	48097630	0	2349
22	16054713	51213846	-1	2796
