Chromosome	Start	End	Value	nbProbes
chr1	754192	29491108	-0.464954242058609	2487
chr1	29503214	53661013	-0.513395106808988	2025
chr1	53661966	55314162	-0.445561732411691	121
chr1	55341106	67109355	-0.563191193691414	945
chr1	67115230	68316824	-0.486651458534353	92
chr1	68323460	117010252	-0.536087919087585	3702
chr1	117025609	121350954	-0.485402672228978	338
chr1	144009053	145461786	-0.201361538289225	65
chr1	145479486	192072540	0.0336001103509024	3646
chr1	192078136	249212898	0.0124813300220396	4374
chr2	21494	90245055	0.0374814468776832	6779
chr2	91866487	95429217	-0.0595171346740884	2
chr2	95431369	217437937	0.0278340612309984	9493
chr2	217455821	243052351	0.0594158886772063	1824
chr3	63411	90473641	0.0470208271327	7316
chr3	93517443	160086075	0.0183265865613127	4790
chr3	160106781	161894491	0.0481066134303988	121
chr3	161907585	168455807	0.111808581507698	438
chr3	168467675	197852584	0.0139736929630636	2367
chr4	69404	9053740	0.106916872974872	588
chr4	9091885	49092474	0.0498582665345806	2731
chr4	52684891	190915670	0.0575186089249092	10065
chr5	38139	392883	0.00486923067215176	24
chr5	412226	8506318	0.103432756674189	581
chr5	8521119	46401291	0.016046854274946	2630
chr5	49441966	51008144	-0.00201653082051017	101
chr5	51012870	68828392	0.0168624194780084	1284
chr5	70306678	106341052	0.0300757570287878	2406
chr5	106360549	180698332	0.0308192339094336	5328
chr6	204909	57051585	0.0428118875113055	4388
chr6	57057183	58770522	0.010668187345542	105
chr6	61886393	94118417	0.0437565400736034	2328
chr6	94120192	94979152	0.0948530300682962	62
chr6	95002750	156153655	0.0496074600182183	4578
chr6	156169331	158424713	-0.471161039693797	144
chr6	158439886	170913071	0.0557269432855716	1096
chr7	41421	58025443	0.0822313693400515	4488
chr7	61064518	149567776	0.0669035416561193	6736
chr7	149583170	159118463	0.109226506891067	743
chr8	172417	7004167	0.0663620959363091	1044
chr8	8094763	43767554	0.0284058137996196	2821
chr8	46896972	106326792	0.0322408513069762	4370
chr8	106338217	107299254	0.0427711216824481	65
chr8	107308858	146292754	0.0321660455840889	3645
chr9	204738	39184085	0.0415335711672005	3216
chr9	44098813	68170441	-0.011011894824758	5
chr9	70984372	135564754	0.0450664840255077	4849
chr9	135581041	141054781	0.164528877176496	455
chr10	126070	39146696	0.0411580159521256	2837
chr10	42413322	69651886	0.04879260665464	1829
chr10	69655186	70130358	0.0583686229088048	40
chr10	70143774	132713499	0.061491058522954	4818
chr10	132733792	135434323	0.262172974243833	167
chr11	192764	682074	-0.548682344677192	57
chr11	704864	50740682	-0.52198236408917	3577
chr11	50766362	51575971	-0.0732647902223636	27
chr11	54795357	134938867	0.042267000863943	6283
chr12	189400	34828231	0.022558516909632	2849
chr12	37902988	133818135	0.0299503812486624	7491
chr13	19084823	72632588	-0.523983997641171	4192
chr13	72650669	81702708	-0.538867624020616	618
chr13	81711150	88217960	-0.490499076340182	457
chr13	88226551	115103170	-0.509421841011684	2664
chr14	20219083	22048597	-0.605987671597641	130
chr14	22050513	23273077	-0.599912659930271	218
chr14	23284572	31299903	-0.520426962828992	530
chr14	31309221	41104843	-0.512993261620407	740
chr14	41108959	47769518	-0.506848638236058	446
chr14	47773513	78143816	-0.553659131117781	2422
chr14	78163851	88575181	-0.574165633433319	718
chr14	88587167	88808899	-1.88233199075568	16
chr14	88825490	107282044	-0.518392685329382	1533
chr15	20161372	20212818	0.137469831329508	6
chr15	22752399	26464674	0.109562031124768	224
chr15	26483925	102397337	0.044775871754539	5779
chr16	83887	35271745	0.0531113850952711	2497
chr16	46461309	90158025	0.0507929454274857	3334
chr17	400959	22217903	0.0448208211146649	1740
chr17	25326941	78934108	0.0491144806226084	4558
chr17	78937165	80263447	-0.0784518365602189	112
chr18	12842	15377491	0.0461184090581626	1072
chr18	18554307	78007804	0.047923402565925	4522
chr19	247232	18272997	0.0192128608174586	1660
chr19	18277206	24544340	0.100985823121734	460
chr19	27754573	59093259	0.0607331630451268	2713
chr20	69094	26309275	0.0505616538841512	2598
chr20	29519156	62912483	0.0745740781329646	2491
chr21	9648315	10964159	-0.172590705114687	8
chr21	14344537	48097630	0.0554991232386693	2339
chr22	16054713	24346448	-0.425748070003162	700
chr22	24346658	24394108	-1.9435805583427	20
chr22	24396598	29093997	-0.443798519477624	339
chr22	29100711	32414149	-0.509829723135102	266
chr22	32444217	51213846	-0.413292441476131	1469
