Chromosome	Start	End	Value	nbProbes
chr1	754192	43557696	-0.569186975645505	3625
chr1	43558937	102473579	-0.582828065180059	4577
chr1	102496576	109815272	-0.545444681039064	561
chr1	109826136	121350954	-0.538172046433626	947
chr1	144009053	145038835	-0.424546707960556	33
chr1	145053982	145394975	-0.344177327654464	26
chr1	145402354	174896319	0.0942227821657158	2309
chr1	174921144	177889500	-0.57882653227068	260
chr1	177902725	180868350	0.0285350563986827	226
chr1	180888910	184631057	-0.585654688252325	294
chr1	184663537	185089031	-0.80610497790181	33
chr1	185110367	187049314	0.0677834966513838	178
chr1	187054897	187993013	-0.75421127145346	80
chr1	187999070	190683412	-0.554020344338758	176
chr1	190695904	191016362	0.137129112696708	25
chr1	191022593	193747602	-0.589906292055186	208
chr1	193774083	249212898	0.0396437215534803	4237
chr2	21494	6674067	0.108694133374214	467
chr2	6697088	9810668	-0.64113204023738	209
chr2	9831360	11200367	-0.00396418155001258	92
chr2	11212039	14809297	-0.622208317482934	240
chr2	14830897	17170700	-0.576037633821129	282
chr2	17197349	30770754	0.0818463409917922	1201
chr2	30784540	32414994	-0.609945608145008	110
chr2	32424019	90245055	0.0446264402104389	4178
chr2	91866487	95429217	0.191157252059981	2
chr2	95431369	97425581	0.12602581161442	107
chr2	97435557	137990698	0.0514049160208414	2853
chr2	137992474	141141080	-0.539924738985244	356
chr2	141142177	141626447	-0.44153030435206	288
chr2	141627328	141770549	-0.517582310100305	131
chr2	141772022	141956779	0.0319580633965549	72
chr2	141958235	142057955	0.149099677370884	50
chr2	142075788	142313781	-0.257520276012274	34
chr2	142326186	189097689	0.0690659221720432	3363
chr2	189113345	189889843	0.108304698666141	52
chr2	189905601	243052351	0.095514481675161	4011
chr3	63411	1826087	-0.562624518946068	154
chr3	1827967	7529575	-0.584612616619738	387
chr3	7551114	17121906	-0.576243403889551	858
chr3	17132170	17540154	-0.319649021106783	28
chr3	17554181	58391585	0.12503419300317	3149
chr3	58408679	59649578	0.130518731408765	85
chr3	59655530	69807925	0.122827658366597	856
chr3	69809284	69936884	0.105650181165267	190
chr3	69938108	83334045	0.0535720840518254	1129
chr3	83342940	83907735	-0.416639790889508	32
chr3	83920089	88711779	-0.584239148383036	299
chr3	88736355	89132302	0.14506500696337	28
chr3	89150919	90473641	-0.544351768824799	121
chr3	93517443	96728432	-0.559071394774454	213
chr3	96738205	98710022	-0.573401449983152	132
chr3	98730871	101421030	-0.651002120278103	196
chr3	101439952	104542257	-0.585928916186784	202
chr3	104559622	120691994	-0.649429032202738	1207
chr3	120699980	121351358	-0.243001419302251	42
chr3	121372513	124378540	0.0772212703174369	207
chr3	124404514	124772102	-0.679829272810555	26
chr3	124811314	125475975	-0.471218194317995	44
chr3	125495356	130661335	0.0494712068735838	356
chr3	130675850	131809015	-0.534490185917563	77
chr3	131815899	135692581	-0.598307654771017	342
chr3	135702645	141409721	0.0774355869828417	431
chr3	141426135	144126236	-0.671886988739438	201
chr3	144148905	147493258	-0.57941748640202	224
chr3	147513235	151597330	-0.572901408110874	285
chr3	151610368	157498481	-0.630510139030541	419
