Chromosome	Start	End	Value	nbProbes
1	754192	249212898	0	17800
2	21494	243052351	0	18102
3	63411	197852584	0	15037
4	69404	190915670	0	13387
5	38139	180698332	0	12360
6	204909	170913071	0	12704
7	41421	46076095	0	3491
7	46089002	46098502	-2	2
7	46120720	159118463	0	8482
8	172417	39254394	0	3503
8	39274995	39383020	-2	8
8	39397015	90922124	0	3585
8	90930168	90931354	-2	2
8	90939625	144986929	0	4744
8	144990879	145028768	-2	16
8	145030780	146292754	-1	91
9	204738	139217109	0	8334
9	139252148	140400003	-1	125
9	140415802	141054781	0	72
10	126070	135434323	0	9695
11	192764	134938867	0	9947
12	189400	133818135	0	10345
13	19084823	115103170	0	7934
14	20219083	107282044	-2	6756
15	20161372	102397337	0	6012
16	83887	580144	0	35
16	593277	3006860	-1	242
16	3023605	90158025	0	5557
17	400959	80263447	0	6413
18	12842	78007804	0	5595
19	247232	59093259	0	4835
20	69094	62912483	0	5091
21	9648315	48097630	0	2349
22	16054713	22306426	0	474
22	22313006	22602867	1	59
22	22603321	24341408	0	167
22	24346428	24390338	-2	20
22	24394088	51213846	0	2076
