Chromosome	Start	End	Value	nbProbes
1	754192	147192838	-1.1627	9898
1	147210993	148544988	0.144863860165549	58
1	149044448	149219132	-5.1575	12
1	149243281	249212898	-0.01165	7832
2	21494	243052351	-0.01165	18102
3	63411	20910517	-0.01165	1671
3	20920840	59956323	-0.881504168045783	3047
3	59973803	197852584	-1.1627	10319
4	69404	190915670	-0.01165	13387
5	38139	180698332	-0.01165	12360
6	204909	170913071	-0.01165	12704
7	41421	159118463	-0.01165	11975
8	172417	146292754	-0.01165	11949
9	204738	141054781	-0.01165	8531
10	126070	135434323	-0.01165	9695
11	192764	47098465	-1.1627	3400
11	47119937	65690320	-0.33895	1065
11	65705108	134938867	-0.01165	5482
12	189400	133818135	-0.01165	10345
13	19084823	40135470	-0.01165	1726
13	40138671	49051788	-0.33895	877
13	49053080	115103170	-1.1627	5331
14	20219083	29410845	-0.68776575884214	752
14	29434930	107282044	-1.1627	6004
15	20161372	24400008	-0.01165	98
15	24416688	24498622	-5.1575	7
15	24525505	102397337	-0.01165	5907
16	83887	90158025	-0.01165	5834
17	400959	80263447	-0.01165	6413
18	12842	78007804	-0.01165	5595
19	247232	59093259	-0.01165	4835
20	69094	62912483	-0.01165	5091
21	9648315	48097630	-0.01165	2349
22	16054713	47173594	-1.1627	2529
22	47199976	51213846	-0.187220426579741	267
