Chromosome	Start	End	Value	nbProbes
1	754192	120295193	-0.811	9635
1	120297295	120300074	-4.481	2
1	120303055	121350954	-0.784	76
1	144009053	249212898	0.437	8087
2	21494	34689455	-0.083	2760
2	34701638	34725225	-3.22	3
2	34741001	243052351	0.001	15339
3	63411	197852584	0.06	15037
4	69404	190915670	0.057	13387
5	38139	180698332	0.003	12360
6	204909	170913071	0.012	12704
7	41421	159118463	-0.004	11975
8	172417	90922124	0.051	7096
8	90930168	90931354	-3.766	2
8	90939625	146292754	0	4851
9	204738	141054781	0.059	8531
10	126070	135434323	0.049	9695
11	192764	134938867	-0.008	9947
12	189400	133818135	0.012	10345
13	19084823	115103170	-0.006	7934
14	20219083	107282044	-0.846	6756
15	20161372	102397337	-0.865	6012
16	83887	90158025	0.035	5834
17	400959	22217903	-0.877	1741
17	25326941	80263447	0.038	4672
18	12842	78007804	0.027	5595
19	247232	59093259	0.057	4835
20	69094	33173847	0.011	2886
20	33186480	33197509	-4.814	2
20	33212055	62912483	0.073	2203
21	9648315	48097630	0.057	2349
22	16054713	23238230	-0.008	593
22	23244065	24341408	-0.396	107
22	24346428	24396618	0.493	22
22	24398768	51213846	-0.633	2074
