Chromosome	Start	End	Value	nbProbes
1	754192	147091709	-1.5205	9887
1	147093887	249212898	0.0551	7913
2	21494	243052351	0.0551	18102
3	63411	197852584	0.0551	15037
4	69404	190915670	-0.5453	13387
5	38139	180698332	0.0551	12360
6	204909	170913071	-1.5205	12704
7	41421	159118463	0.0551	11975
8	172417	47105177	0.0551	3881
8	47108964	48675690	0.47463826901304	101
8	48680206	146292754	2.10896736343634	7967
9	204738	141054781	-1.5205	8531
10	126070	135434323	0.0551	9695
11	192764	8688036	-0.0805062630813682	702
11	8714138	8887965	-0.5453	13
11	8899668	134938867	0.0551	9232
12	189400	133818135	0.0551	10345
13	19084823	115103170	0.0551	7934
14	20219083	107282044	-1.5205	6756
15	20161372	102397337	-1.5205	6012
16	83887	90158025	-0.5453	5834
17	400959	80263447	0.0551	6413
18	12842	78007804	-1.5205	5595
19	247232	59093259	0.0551	4835
20	69094	62912483	0.0551	5091
21	9648315	48097630	0.0551	2349
22	16054713	24341408	-1.5205	700
22	24346428	24385478	-6.63635252353485	18
22	24388238	51213846	-1.5205	2078
