Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	834198	30330898	29496701	0.199076551388182	Unbalanced	S-tag199817	S-tag110405	481	1	481
chr1	1	30373866	40120085	9746220	0.191739339517222	Unbalanced	S-tag211658	S-tag312012	652	482	171
chr1	1	40203722	43277312	3073591	0.207095934554588	Unbalanced	S-tag073793	S-tag269098	695	653	43
chr1	1	43285544	53407893	10122350	0.189194137851397	Unbalanced	S-tag311926	S-tag281810	824	696	129
chr1	1	53661966	55516188	1854223	0.203733877621315	Unbalanced	S-tag230475	S-tag292685	851	825	27
chr1	1	55679000	66908612	11229613	0.193948648869991	Unbalanced	S-tag033058	S-tag137580	1057	852	206
chr1	1	67025343	68551909	1526567	0.1793640122962	Unbalanced	S-tag098892	S-tag114082	1082	1058	25
chr1	1	68559978	99213071	30653094	0.200079366889929	Unbalanced	S-tag154182	S-tag014671	1431	1083	349
chr1	1	99558971	118201128	18642158	0.192511143682825	Unbalanced	S-tag162015	S-tag290073	1698	1432	267
chr1	1	118204107	120525554	2321448	0.20674457748731	Unbalanced	S-tag210920	S-tag076113	1758	1699	60
chr1	1	145284177	219876281	74592105	0.5	Hetero	S-tag186537	S-tag277215	3384	1759	1626
chr1	1	219906948	220847364	940417	0.477484269177212	Unbalanced	S-tag228330	S-tag180045	3418	3385	34
chr1	1	220887172	248583347	27696176	0.5	Hetero	S-tag152058	S-tag238134	4047	3419	629
chr2	2	69431	44088947	44019517	0.5	Hetero	S-tag034365	S-tag090942	4982	4048	935
chr2	2	44218637	44794281	575645	0.464616002895511	Unbalanced	S-tag207110	S-tag177982	4995	4983	13
chr2	2	45029525	242085602	197056078	0.5	Hetero	S-tag121132	S-tag255234	8264	4996	3269
chr3	3	63411	160036400	159972990	0.5	Hetero	S-tag123447	S-tag316943	11373	8265	3109
chr3	3	160047306	161867561	1820256	0.47375408380196	Unbalanced	S-tag089909	S-tag182531	11431	11374	58
chr3	3	161913102	197580938	35667837	0.5	Hetero	S-tag054732	S-tag008846	12263	11432	832
chr4	4	151255	190176475	190025221	0.5	Hetero	S-tag077190	S-tag125636	15755	12264	3492
chr5	5	118406	180669370	180550965	0.5	Hetero	S-tag016726	S-tag286370	18995	15756	3240
chr6	6	205878	53617730	53411853	0.5	Hetero	S-tag178552	S-tag293007	20048	18996	1053
chr6	6	53689508	54789072	1099565	0.477792363761245	Unbalanced	S-tag188268	S-tag041205	20085	20049	37
chr6	6	54917899	94069681	39151783	0.5	Hetero	S-tag003565	S-tag227978	20619	20086	534
chr6	6	94104527	94963758	859232	0.470170341241054	Unbalanced	S-tag222271	S-tag258720	20658	20620	39
chr6	6	95002750	156041786	61039037	0.5	Hetero	S-tag224186	S-tag210760	22081	20659	1423
chr6	6	156308576	158188548	1879973	0.25958056858778	Unbalanced	S-tag093083	S-tag137105	22111	22082	30
chr6	6	158472445	170551427	12078983	0.5	Hetero	S-tag100932	S-tag089544	22407	22112	296
chr7	7	57660	95198625	95140966	0.5	Hetero	S-tag254625	S-tag228867	24228	22408	1821
chr7	7	95225106	96766137	1541032	0.475349766703752	Unbalanced	S-tag278553	S-tag042122	24280	24229	52
chr7	7	96805891	159118443	62312553	0.5	Hetero	S-tag032905	S-tag164900	25362	24281	1082
chr8	8	238472	106326772	106088301	0.5	Hetero	S-tag322922	S-tag307154	27405	25363	2043
chr8	8	106365819	107299234	933416	0.469286942481995	Unbalanced	S-tag102917	S-tag304365	27435	27406	30
chr8	8	107308858	144992862	37684005	0.5	Hetero	S-tag054620	S-tag180556	28401	27436	966
chr9	9	204738	138327242	138122505	0.5	Hetero	S-tag285604	S-tag031373	30608	28402	2207
chr10	10	332199	69622535	69290337	0.5	Hetero	S-tag144498	S-tag128387	31998	30609	1390
chr10	10	69630907	70108913	478007	0.465109758350253	Unbalanced	S-tag133264	S-tag133472	32018	31999	20
chr10	10	70290829	115980324	45689496	0.5	Hetero	S-tag074774	S-tag001807	33034	32019	1016
chr10	10	116073696	116856071	782376	0.468355820986132	Unbalanced	S-tag270417	S-tag052320	33058	33035	24
chr10	10	116870465	133787629	16917165	0.5	Hetero	S-tag205762	S-tag161699	33419	33059	361
chr11	11	252318	2632241	2379924	0.214994896203279	Unbalanced	S-tag071380	S-tag277284	33431	33420	12
chr11	11	2696744	20141839	17445096	0.187831480924348	Unbalanced	S-tag241269	S-tag116636	33697	33432	266
chr11	11	20246868	44113563	23866696	0.193094895953313	Unbalanced	S-tag259402	S-tag144374	34043	33698	346
chr11	11	44142934	50668546	6525613	0.185258248022624	Unbalanced	S-tag244506	S-tag275700	34120	34044	77
chr11	11	51243589	134938847	83695259	0.5	Hetero	S-tag327935	S-tag183870	35723	34121	1603
chr12	12	208784	133254083	133045300	0.5	Hetero	S-tag037927	S-tag167999	38439	35724	2716
chr13	13	19310020	22559190	3249171	0.179466771687002	Unbalanced	S-tag062168	S-tag158243	38493	38440	54
chr13	13	22673870	28597839	5923970	0.195886569478179	Unbalanced	S-tag007144	S-tag228900	38586	38494	93
chr13	13	28627672	33940515	5312844	0.184902560360658	Unbalanced	S-tag016445	S-tag067327	38690	38587	104
chr13	13	33947222	36761144	2813923	0.206454663014993	Unbalanced	S-tag061354	S-tag146213	38731	38691	41
chr13	13	36773632	47358540	10584909	0.184632498055997	Unbalanced	S-tag237478	S-tag142128	38929	38732	198
