Chromosome	Start	End	Value	nbProbes
chr1	754192	121350954	-0.0154621444418994	9710
chr1	144009053	249212898	-0.0205285358085633	8085
chr2	21494	90245055	-0.00306284311169806	6779
chr2	91866487	95429217	-0.0698152946044653	2
chr2	95431369	152593761	-0.0158988464980637	4634
chr2	152597866	243052351	0.0131823070308661	6683
chr3	63411	90473641	0.020009250890699	7316
chr3	93517443	197852584	0.00992567545818613	7716
chr4	69404	49092474	0.020106504361935	3319
chr4	52684891	190915670	0.034370856443153	10065
chr5	38139	46401291	-0.00125287231844614	3235
chr5	49441966	60625895	-0.00913675647783357	797
chr5	60643513	62250582	0.0367732115513078	104
chr5	62262952	68828392	0.000801918828157691	484
chr5	70306678	180698332	-0.00167345246920631	7734
chr6	204909	58770522	0.00936105513526513	4493
chr6	61886393	170913071	0.0221604873038326	8208
chr7	41421	58025443	0.01046794258393	4488
chr7	61064518	159118463	-0.00819543261506446	7479
chr8	172417	7004167	0.0256396541311642	1044
chr8	8094763	39195004	0.0111705408799674	2453
chr8	39217074	39458419	-2.12084353520639	17
chr8	39460780	43767554	-0.0147044807912302	351
chr8	46896972	48343142	-0.0262175047750301	93
chr8	48353258	146292754	0.00257071265918445	7987
chr9	204738	39184085	0.0171392715578537	3216
chr9	44098813	68170441	0.00852958868084599	5
chr9	70984372	141054781	0.0207099932401405	5304
chr10	126070	23046119	0.0392565237330461	1734
chr10	23071128	39146696	0.00641298079514953	1103
chr10	42413322	75793392	0.00750195442596153	2284
chr10	75808313	76158538	0.164540860248832	25
chr10	76180335	135434323	0.0341863699493241	4545
chr11	192764	2479215	-0.184122192167758	185
chr11	2499178	51575971	-0.0318424008472557	3476
chr11	54795357	80113587	-0.0340157997670038	2027
chr11	80125592	134938867	-0.0146271459922631	4256
chr12	189400	34828231	0.00424575596471207	2849
chr12	37902988	133818135	0.00262961318505208	7491
chr13	19084823	115103170	-0.00662752655370325	7931
chr14	20219083	67497225	-0.699823439650617	3615
chr14	67499716	67622590	-0.389762702015184	25
chr14	67625912	86417763	-0.70938529482992	1420
chr14	86435235	87526427	-0.851710172232994	73
chr14	87532409	107091762	-0.70504934383069	1586
chr14	107100575	107282044	0.0597954712058711	34
chr15	20161372	20212818	0.0597954712058711	6
chr15	22752399	102397337	0.00988166759778067	6003
chr16	83887	3076351	-0.137728346395303	281
chr16	3092825	35271745	0.0194690172144984	2216
chr16	46461309	90158025	-0.00187763140938996	3334
chr17	400959	22217903	-0.0112663669438583	1740
chr17	25326941	49188939	-0.0214819977087371	2161
chr17	49193326	79574144	0.0339101921806917	2444
chr17	79588557	80263447	-0.189754712967651	65
chr18	12842	15377491	0.00195167379474702	1072
chr18	18554307	78007804	0.0141665633011184	4522
chr19	247232	1668181	-0.177905524483955	227
chr19	1671549	24544340	0.0208476535702878	1893
chr19	27754573	59093259	0.026971882585157	2713
chr20	69094	16183992	-0.0121313275186803	1944
chr20	16195368	26309275	0.0410813551794841	654
chr20	29519156	62912483	0.033582831746992	2491
chr21	9648315	10964159	0.0576074317473371	8
chr21	14344537	48097630	0.0198169837017208	2339
chr22	16054713	22306426	0.029363375163768	473
chr22	22313006	22587459	0.339931230648543	54
chr22	22590780	24341408	-0.0189026031431125	172
chr22	24346428	24394108	-1.89763771514454	21
chr22	24396598	51213846	0.00442050068284013	2074
