Chromosome	Start	End	Value	nbProbes
1	754192	147211013	-0.21525	9899
1	147211422	197918507	0.33385	3946
1	197929497	249212898	0.0548	3955
2	21494	162307247	0.0548	12112
2	162332972	243052351	0.33385	5990
3	63411	197852584	0.33385	15037
4	69404	190915670	0.0548	13387
5	38139	180698332	0.0548	12360
6	204909	170913071	0.0548	12704
7	41421	159118463	0.0548	11975
8	172417	102157404	0.33385	7918
8	102170103	146292754	0.0548	4031
9	204738	91772392	0.0548	4785
9	91783844	141054781	0.33385	3746
10	126070	135434323	0.0548	9695
11	192764	134938867	0.0548	9947
12	189400	46526477	0.33385	3444
12	46542954	58162759	-0.21525	1185
12	58163064	133818135	0.33385	5716
13	19084823	115103170	0.0548	7934
14	20219083	107282044	0.0548	6756
15	20161372	33741342	0.33385	669
15	33754911	102397337	0.0548	5343
16	83887	90158025	0.0548	5834
17	400959	80263447	0.0548	6413
18	12842	78007804	0.33385	5595
19	247232	59093259	0.0548	4835
20	69094	62912483	0.0548	5091
21	9648315	48097630	0.33385	2349
22	16054713	51213846	0.0548	2796
