Chromosome	Start	End	Value	nbProbes
1	754192	41761240	0.0147	3497
1	41773004	249212898	-0.2034	14303
2	21494	151115895	-0.2034	11284
2	151131188	243052351	0.0147	6818
3	63411	197852584	0.0147	15037
4	69404	190915670	0.0147	13387
5	38139	180698332	0.0147	12360
6	204909	170913071	0.0147	12704
7	41421	159118463	-0.2034	11975
8	172417	146292754	0.0147	11949
9	204738	141054781	0.0147	8531
10	126070	135434323	0.0147	9695
11	192764	134938867	-0.2034	9947
12	189400	118365702	0.0147	9250
12	118376918	133818135	0.1206	1095
13	19084823	115103170	0.0147	7934
14	20219083	107282044	-0.2034	6756
15	20161372	102397337	0.0147	6012
16	83887	90158025	0.0147	5834
17	400959	80263447	0.0147	6413
18	12842	78007804	0.0147	5595
19	247232	59093259	0.0147	4835
20	69094	62912483	0.0147	5091
21	9648315	48097630	0.1206	2349
22	16054713	51213846	-0.2034	2796
