Chromosome	Start	End	Value	nbProbes
1	754192	49574595	-1	4200
1	49591523	58767449	0	672
1	58773286	73783976	-1	1180
1	73794664	75722992	0	128
1	75742597	76259864	-1	38
1	76265890	78529248	0	168
1	78548411	79293835	-1	53
1	79319434	81353844	0	141
1	81377308	105325558	-1	1813
1	105370180	249212898	0	9407
2	21494	243052351	0	18102
3	63411	197852584	0	15037
4	69404	190915670	0	13387
5	38139	180698332	0	12360
6	204909	170913071	0	12704
7	41421	159118463	0	11975
8	172417	90922124	0	7096
8	90930168	90931354	-2	2
8	90939625	127422110	0	3346
8	127438387	146292754	-1	1505
9	204738	141054781	0	8531
10	126070	135434323	0	9695
11	192764	134938867	-1	9947
12	189400	133818135	0	10345
13	19084823	115103170	0	7934
14	20219083	41604154	-1	1653
14	41626649	41657147	-2	3
14	41673714	66168130	-1	1803
14	66196948	67810053	0	201
14	67830856	83793805	-1	1228
14	83812245	107282044	0	1868
15	20161372	32445015	-1	590
15	32509892	32515120	-2	11
15	32925226	102397337	-1	5411
16	83887	58189997	0	3314
16	58194926	58209765	-2	2
16	58228701	90158025	0	2518
17	400959	80263447	0	6413
18	12842	26251088	-1	1673
18	26266275	78007804	0	3922
19	247232	59093259	0	4835
20	69094	33173847	0	2886
20	33186480	33197509	-2	2
20	33212055	62912483	0	2203
21	9648315	48097630	0	2349
22	16054713	22503918	-1	512
22	22508432	22727924	0	42
22	22730584	24341408	-1	146
22	24346428	24390338	-2	20
22	24394088	51213846	-1	2076
