Chromosome	Start	End	Value	nbProbes
1	754192	249212898	0.002	17800
2	21494	243052351	0.002	18102
3	63411	197852584	0.001	15037
4	69404	190915670	0.476	13387
5	38139	180698332	0.434	12360
6	204909	170913071	0.017	12704
7	41421	159118463	-0.012	11975
8	172417	39254394	0.014	3503
8	39274995	39383020	-3.398	8
8	39397015	90922124	-0.004	3585
8	90930168	90931354	-3.748	2
8	90939625	146292754	-0.018	4851
9	204738	84495628	0.015	4176
9	84510772	84528243	-3.785	3
9	84531447	141054781	0.037	4352
10	126070	135434323	0.034	9695
11	192764	134938867	-0.006	9947
12	189400	133818135	0.454	10345
13	19084823	115103170	0.32	7934
14	20219083	106560866	-0.029	6624
14	106572892	106779272	0.888	41
14	106789744	107282044	-0.01	91
15	20161372	23619932	0.051	43
15	23620694	23648812	-4.389	5
15	23666373	102397337	0.03	5964
16	83887	90158025	0.496	5834
17	400959	80263447	0.032	6413
18	12842	78007804	0.454	5595
19	247232	59093259	0.058	4835
20	69094	33173847	0.46	2886
20	33186480	33197509	-4.642	2
20	33212055	62912483	0.515	2203
21	9648315	48097630	0.023	2349
22	16054713	51213846	-0.147	2796
