Chromosome	Start	End	Value	nbProbes
1	754192	930397	0.398	13
1	950677	179678631	0.042	12469
1	179689532	221247876	0.427	3119
1	221270457	249212898	-0.819	2199
2	21494	243052351	0.019	18102
3	63411	197852584	-0.004	15037
4	69404	190915670	0.838	13387
5	38139	180698332	0.452	12360
6	204909	170913071	-0.001	12704
7	41421	46076095	-0.004	3491
7	46089002	46098502	-3.568	2
7	46120720	159118463	-0.023	8482
8	172417	90922124	0.824	7096
8	90930168	90931354	-2.897	2
8	90939625	146292754	0.807	4851
9	204738	141054781	0.032	8531
10	126070	135434323	0.033	9695
11	192764	39474399	-0.857	2860
11	39494123	94692919	0.469	3845
11	94722715	117260095	-0.87	1775
11	117287794	127148669	0.087	839
11	127165412	127294979	-0.937	10
11	127317894	134938867	0.041	618
12	189400	133818135	0.011	10345
13	19084823	115103170	-0.017	7934
14	20219083	30431145	-0.863	821
14	30459451	33388959	0.052	267
14	33407292	82830239	-0.864	3735
14	82833609	107282044	0.489	1933
15	20161372	55534362	0.036	2309
15	55560425	102397337	0.554	3703
16	83887	90158025	0.056	5834
17	400959	80263447	0.046	6413
18	12842	78007804	0.018	5595
19	247232	59093259	0.038	4835
20	69094	33173847	-0.017	2886
20	33186480	33197509	-4.459	2
20	33212055	62912483	0.046	2203
21	9648315	48097630	0.031	2349
22	16054713	51213846	0.051	2796
