Chromosome	Start	End	Value	nbProbes
chr1	754192	5198809	-0.325461960640732	420
chr1	5211338	48841835	-0.371968584244356	3725
chr1	48858743	51715641	-0.384751684721256	221
chr1	51719315	60709847	-0.441133019730457	748
chr1	60734641	68057776	-0.403473229185722	523
chr1	68070775	105547604	-0.428841718895049	2767
chr1	105568717	120405574	-0.363079291894109	1248
chr1	120412885	121350954	-0.396709518271289	58
chr1	144009053	145394975	-0.221628522967988	59
chr1	145402354	182878178	0.0696923941277134	2941
chr1	182895521	184800650	0.033811561544245	160
chr1	184801065	249212898	0.0275790359705225	4925
chr2	21494	90245055	0.0582434154897488	6779
chr2	91866487	95429217	0.0765578288239269	2
chr2	95431369	96052423	0.100095042127942	37
chr2	96056112	100135091	0.0743330636005875	376
chr2	100149336	243052351	0.0547297018229789	10904
chr3	63411	32670377	0.0634865325051031	2566
chr3	32688253	63209377	0.123423738997785	2464
chr3	63229893	67756137	0.0497343590872955	316
chr3	67767250	69784937	0.209918246599469	136
chr3	69785190	69938272	0.101053824501212	227
chr3	69938423	90473641	0.0425369638218321	1607
chr3	93517443	197852584	0.0309272359677773	7716
chr4	69404	18749536	0.12074843050408	1195
chr4	18750217	49092474	0.0328810019250558	2124
chr4	52684891	190915670	0.0781597348491072	10065
chr5	38139	46401291	0.0450189724151622	3235
chr5	49441966	68828392	0.0279046166879493	1385
chr5	70306678	111450354	0.0407679503003034	2746
chr5	111476404	180698332	0.0211694326084443	4988
chr6	204909	58770522	0.0534237172743667	4493
chr6	61886393	170913071	0.0324323013896813	8208
chr7	41421	58025443	0.038184742100351	4488
chr7	61064518	159118463	0.0164716510267205	7479
chr8	172417	6746661	0.113115577495123	1030
chr8	6767192	7004167	0.297361397207902	14
chr8	8094763	39195004	0.0586488351527708	2453
chr8	39217074	39419580	-2.26614505077637	15
chr8	39439518	43767554	0.0586743674093042	353
chr8	46896972	146292754	0.0371040415658112	8080
chr9	204738	39184085	0.0686688237069108	3216
chr9	44098813	68170441	0.111626984603625	5
chr9	70984372	75135845	0.0683013930974989	278
chr9	75148230	76587372	0.0700477658037752	100
chr9	76593162	106327081	0.0807453087996305	2260
chr9	106344556	107154780	0.116124631997226	55
chr9	107165640	141054781	0.0875459910713518	2611
chr10	126070	22420678	0.0638303650934055	1626
chr10	22428920	39146696	0.0054980687241466	1211
chr10	42413322	135434323	0.0702290156679837	6854
chr11	192764	51575971	0.00856176822486065	3661
chr11	54795357	134938867	0.0380781370638572	6283
chr12	189400	34828231	0.00699003514527328	2849
chr12	37902988	107848672	0.0134552399478456	5604
chr12	107861624	108609206	0.0147971044487328	61
chr12	108618630	133818135	0.0514077784650146	1826
chr13	19084823	23485438	-0.00729166688162396	308
chr13	23503492	25035627	0.0821823658593236	105
chr13	25041187	90236315	0.0137228116905385	5040
chr13	90240022	91210972	-0.23486718491769	89
chr13	91216048	115103170	0.0231859525244804	2389
chr14	20219083	22733315	-0.567800421923263	282
chr14	22736687	22961874	-0.75564893955512	45
chr14	22975108	40317110	-0.438163210747101	1241
chr14	40330407	44600720	-0.424136332247277	284
chr14	44618063	48358716	-0.411188411793344	252
chr14	48383588	63532369	-0.494776455082915	1111
chr14	63559222	68882083	-0.411886142197788	610
chr14	68884552	69903441	-0.545652276883382	103
chr14	69920730	76338448	-0.49527851982231	438
chr14	76351840	83591430	-0.484780409292385	505
chr14	83599228	98103932	-0.487252754521569	1036
chr14	98115308	107282044	-0.416434017026854	846
chr15	20161372	20212818	-0.424575831525766	6
chr15	22752399	42227461	-0.422113760859685	1361
chr15	42243801	47542651	-0.448903547701996	361
chr15	47563699	57003059	-0.482890643162887	678
chr15	57017888	99409008	-0.48683532249463	3340
chr15	99409548	102397337	-0.495212219247386	263
chr16	83887	35271745	0.039283934369159	2497
chr16	46461309	90158025	0.0538972023725131	3334
chr17	400959	22217903	0.0588842610085379	1740
chr17	25326941	80263447	0.0356950504957098	4670
chr18	12842	15377491	0.04596929351115	1072
chr18	18554307	78007804	0.0280420874612149	4522
chr19	247232	24544340	0.0316827794826899	2120
chr19	27754573	59093259	0.0402002215007182	2713
chr20	69094	13540818	-0.0208154259569116	1037
chr20	13558293	26309275	0.0547761943549856	1561
chr20	29519156	60992422	0.0602630651441313	2355
chr20	61008794	62912483	0.459004672095771	136
chr21	9648315	10964159	-0.214933171348311	8
chr21	14344537	48097630	0.0566296974285308	2339
chr22	16054713	26166031	-0.355954316880753	847
chr22	26174168	30761318	-0.500084604862311	354
chr22	30779211	51213846	-0.399227928443167	1593
