Chromosome	Start	End	Value	nbProbes
1	754192	249212898	0	17800
2	21494	243052351	0	18102
3	63411	197852584	0	15037
4	69404	190915670	1	13387
5	38139	180698332	1	12360
6	204909	170913071	0	12704
7	41421	159118463	0	11975
8	172417	39254394	0	3503
8	39274995	39383020	-2	8
8	39397015	90922124	0	3585
8	90930168	90931354	-2	2
8	90939625	146292754	0	4851
9	204738	84495628	0	4176
9	84510772	84528243	-2	3
9	84531447	141054781	0	4352
10	126070	135434323	0	9695
11	192764	134938867	0	9947
12	189400	133818135	1	10345
13	19084823	115103170	1	7934
14	20219083	106560866	0	6624
14	106572892	106779272	1	41
14	106789744	107282044	0	91
15	20161372	23619932	0	43
15	23620694	23648812	-2	5
15	23666373	102397337	0	5964
16	83887	90158025	1	5834
17	400959	80263447	0	6413
18	12842	78007804	1	5595
19	247232	59093259	0	4835
20	69094	33173847	1	2886
20	33186480	33197509	-2	2
20	33212055	62912483	1	2203
21	9648315	48097630	0	2349
22	16054713	51213846	0	2796
