Chromosome	Start	End	Value	nbProbes
1	754192	145291868	-0.45	9770
1	145382341	249212898	-0.021	8030
2	21494	90233965	0.005	6778
2	90235530	242852798	-0.412	11311
2	242881572	243052351	-2.377	13
3	63411	197852584	-0.014	15037
4	69404	190915670	0.027	13387
5	38139	180698332	-0.001	12360
6	204909	78962145	-0.455	5702
6	78975348	79027535	-4.138	3
6	79042157	170913071	-0.449	6999
7	41421	46076095	-0.018	3491
7	46089002	46098502	-3.365	2
7	46120720	159118463	-0.029	8482
8	172417	46939180	-0.417	3871
8	46944913	90922124	0.297	3225
8	90930168	90931354	-3.212	2
8	90939625	146292754	0.276	4851
9	204738	141054781	0.012	8531
10	126070	135434323	0.012	9695
11	192764	134938867	-0.054	9947
12	189400	133818135	-0.002	10345
13	19084823	115103170	-0.409	7934
14	20219083	107282044	-0.441	6756
15	20161372	102397337	0.011	6012
16	83887	90158025	0.025	5834
17	400959	80263447	-0.002	6413
18	12842	78007804	0.042	5595
19	247232	59093259	-0.05	4835
20	69094	62912483	0.002	5091
21	9648315	48097630	-0.005	2349
22	16054713	51213846	-0.042	2796
