Chromosome	Start	End	Value	nbProbes
1	754192	147099335	-1.1672	9889
1	147102157	249212898	-0.13805	7911
2	21494	78075103	-0.0152	6033
2	78093706	112282648	-0.742281211920672	2013
2	112293509	190376893	-1.1672	6078
2	190395060	243052351	-0.94869457345638	3978
3	63411	197852584	-0.0152	15037
4	69404	190915670	-0.0152	13387
5	38139	180698332	-0.0152	12360
6	204909	170913071	-1.1672	12704
7	41421	159118463	-0.0152	11975
8	172417	48680226	-1.1672	3983
8	48680968	146292754	0.800210947286855	7966
9	204738	103094581	-0.0152	5650
9	103112459	118299770	-0.13805	1029
9	118312053	129602087	-0.0152	899
9	129613454	141054781	-0.13805	953
10	126070	135434323	-0.0152	9695
11	192764	134938867	-0.13805	9947
12	189400	133818135	-0.0152	10345
13	19084823	115103170	-1.1672	7934
14	20219083	107282044	-1.1672	6756
15	20161372	102397337	-0.0152	6012
16	83887	90158025	-0.0152	5834
17	400959	80263447	-0.0152	6413
18	12842	78007804	-0.0152	5595
19	247232	59093259	-0.13805	4835
20	69094	62912483	-0.0152	5091
21	9648315	48097630	-0.0152	2349
22	16054713	51213846	-0.13805	2796
