Chromosome	Start	End	Value	nbProbes
1	754192	950697	1	14
1	958905	249212898	0	17786
2	21494	243052351	0	18102
3	63411	197852584	1	15037
4	69404	190915670	1	13387
5	38139	110596706	0	7313
5	110621221	113565745	1	249
5	113571545	180698332	0	4798
6	204909	170913071	0	12704
7	41421	159118463	0	11975
8	172417	90922124	1	7096
8	90930168	90931354	-2	2
8	90939625	146292754	0	4851
9	204738	141054781	1	8531
10	126070	135434323	0	9695
11	192764	134938867	0	9947
12	189400	133818135	1	10345
13	19084823	115103170	0	7934
14	20219083	107282044	0	6756
15	20161372	102397337	0	6012
16	83887	90158025	0	5834
17	400959	80263447	0	6413
18	12842	78007804	1	5595
19	247232	59093259	0	4835
20	69094	62912483	0	5091
21	9648315	48097630	1	2349
22	16054713	51213846	0	2796
