Chromosome	Start	End	Value	nbProbes
chr1	754192	13948245	-0.462403389875895	1111
chr1	14004623	15635541	-0.564189158893865	116
chr1	15638004	27035123	-0.477669617654463	1019
chr1	27037154	37089943	-0.487409244462409	850
chr1	37120982	41840217	-0.538857098419846	404
chr1	41854357	100597281	-0.515419916006862	4556
chr1	100611931	101190193	-0.322846299124078	51
chr1	101190866	121350954	-0.492313699695595	1603
chr1	144009053	179678631	0.106257835304579	2769
chr1	179689532	187247170	0.154646490841911	610
chr1	187250261	188485620	0.0977055961055622	94
chr1	188486435	210510914	0.0507927614719735	1578
chr1	210515588	249212898	0.119835424982787	3034
chr2	21494	4011828	0.168842397774517	263
chr2	4026699	90245055	0.0853286756399804	6516
chr2	91866487	95429217	0.0686003565788269	2
chr2	95431369	242486680	0.0804405176916922	11258
chr2	242490366	243052351	0.13292359274228	59
chr3	63411	20141542	0.149606130073839	1609
chr3	20147562	30488368	0.0985435844423573	765
chr3	30506137	30725665	-0.0914659202409287	45
chr3	30730057	55168207	0.199986385000078	1943
chr3	55177886	79584064	0.140937383434823	2236
chr3	79597035	82576269	0.210118370182532	193
chr3	82589732	90473641	0.0390711817111255	525
chr3	93517443	197852584	0.111137776683042	7716
chr4	69404	22776294	-0.0897411943921738	1477
chr4	22788560	24863650	-0.114052305146065	151
chr4	24885284	40424622	-0.167546543023763	1043
chr4	40444292	49092474	-0.109637622568788	648
chr4	52684891	64253651	-0.0898591469279385	972
chr4	64268224	67500935	-0.222079829620968	266
chr4	67507665	154824132	-0.121064376996747	6306
chr4	154830785	190915670	-0.0945242429284071	2521
chr5	38139	22923907	0.135629021354143	1554
chr5	22940741	46401291	0.0818986469699393	1681
chr5	49441966	65714470	0.128641689370559	1142
chr5	65730895	68828392	0.0357454845771853	243
chr5	70306678	91968435	0.091677981932791	1453
chr5	91977934	136975707	0.115503425846106	3088
chr5	136998182	139475631	0.130625640135924	175
chr5	139484329	169792329	0.118954493080125	2165
chr5	169805123	180698332	0.187220832468696	853
chr6	204909	21594221	-0.515966176129296	1600
chr6	21601917	29371607	-0.495731428098266	533
chr6	29372663	36276769	-0.520723281363617	692
chr6	36296514	58770522	-0.523843067016997	1668
chr6	61886393	150414046	-0.524927049646067	6527
chr6	150428735	170913071	-0.513267535579173	1681
chr7	41421	58025443	0.115304636144757	4488
chr7	61064518	159118463	0.0989705427513884	7479
chr8	172417	7004167	0.155685646843358	1044
chr8	8094763	43767554	0.123529831519491	2821
chr8	46896972	47997944	0.805553940267095	72
chr8	48023831	60420950	0.993363074958324	956
chr8	60443509	62805300	0.930295986205905	158
chr8	62816151	101691710	0.940900188860541	2834
chr8	101712964	103534910	0.919307556028003	151
chr8	103541882	110484832	0.913905632815191	476
