Chromosome	Start	End	Value	nbProbes
1	754192	113448486	-2.0052	9062
1	113454571	145428352	-0.2364	713
1	145440096	146501048	-0.864482557488236	20
1	146502533	249212898	-0.0168	8005
2	21494	243052351	-0.0168	18102
3	63411	197852584	-0.0168	15037
4	69404	190915670	-0.0168	13387
5	38139	180698332	-0.0168	12360
6	204909	170913071	-0.0168	12704
7	41421	159118463	-0.0168	11975
8	172417	28226037	-0.2364	2699
8	28236760	146292754	-0.0168	9250
9	204738	141054781	-0.0168	8531
10	126070	135434323	-0.0168	9695
11	192764	134938867	-0.0168	9947
12	189400	118216595	-0.0168	9239
12	118229731	133818135	0.1015	1106
13	19084823	115103170	-0.0168	7934
14	20219083	107282044	-0.0168	6756
15	20161372	30967916	0.1015	485
15	31012794	33653125	-1.15295873229073	178
15	33670632	102397337	-2.0052	5349
16	83887	90158025	-0.0168	5834
17	400959	80263447	-0.0168	6413
18	12842	78007804	-0.0168	5595
19	247232	41353224	-0.0168	3266
19	41356310	41381234	-3.38615	10
19	41382714	59093259	-0.0168	1559
20	69094	62912483	-0.0168	5091
21	9648315	48097630	-0.0168	2349
22	16054713	24341408	-2.0052	700
22	24346428	24372778	-3.38615	13
22	24376218	51213846	-2.0052	2083
