Gene Symbol	Chr	Gene Start	Gene End	Gene Width	Gene Strand	Gene Cytoband	Match Start	Match End	Match Width	L2R Status	L2R Value	L2R Segment Width	BAF Status	BAF Value	BAF Segment Width
USP24	chr1	55532031	55681039	149009	-	1p32.3	55532031	55552569	20539	Loss	-0.48619272888417	1920668	NA	NA	NA
USP24	chr1	55532031	55681039	149009	-	1p32.3	55679000	55681039	2040	Loss	-0.610509186405534	11443245	Unbalanced	0.193948648869991	11229613
SGIP1	chr1	66999251	67216822	217572	+	1p31.3	66999251	67010654	11404	Loss	-0.610509186405534	11443245	NA	NA	NA
SGIP1	chr1	66999251	67216822	217572	+	1p31.3	67025343	67216822	191480	Loss	-0.557676238323359	1534078	Unbalanced	0.1793640122962	1526567
GNG12-AS1	chr1	68297970	68668670	370701	+	1p31.3	68297970	68551909	253940	Loss	-0.557676238323359	1534078	Unbalanced	0.1793640122962	1526567
GNG12-AS1	chr1	68297970	68668670	370701	+	1p31.3	68559978	68668670	108693	Loss	-0.590492170646067	30976364	Unbalanced	0.200079366889929	30653094
LOC100129620	chr1	99469831	99614408	144578	+	1p21.3	99469831	99536341	66511	Loss	-0.590492170646067	30976364	NA	NA	NA
LOC100129620	chr1	99469831	99614408	144578	+	1p21.3	99558971	99614408	55438	Loss	-0.563737587039632	18661026	Unbalanced	0.192511143682825	18642158
LRPPRC	chr2	44113362	44223144	109783	-	2p21	44113362	44195746	82385	Normal	-0.000936358149126591	44174253	NA	NA	NA
LRPPRC	chr2	44113362	44223144	109783	-	2p21	44218637	44223144	4508	Gain	0.0527363237652547	754720	Unbalanced	0.464616002895511	575645
CAMKMT	chr2	44589042	44999731	410690	+	2p21	44589042	44794281	205240	Gain	0.0527363237652547	754720	Unbalanced	0.464616002895511	575645
CAMKMT	chr2	44589042	44999731	410690	+	2p21	44979331	44999731	20401	Normal	-0.0139396272687414	198073001	NA	NA	NA
IFT80	chr3	159974773	160117320	142548	-	3q25.33	159974773	160036400	61628	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
IFT80	chr3	159974773	160117320	142548	-	3q25.33	160047306	160117320	70015	Normal	0.00031485425540298	1860280	Unbalanced	0.47375408380196	1820256
EGFEM1P	chr3	167967309	168548374	581066	+	3q26.2	167967309	168455787	488479	Gain	0.0662347180545247	6542686	Hetero	0.5	35667837
EGFEM1P	chr3	167967309	168548374	581066	+	3q26.2	168467675	168548374	80700	Normal	-0.0317071818094913	21275757	Hetero	0.5	35667837
P3H2	chr3	189674516	189840226	165711	-	3q28	189674516	189743431	68916	Normal	-0.0317071818094913	21275757	Hetero	0.5	35667837
P3H2	chr3	189674516	189840226	165711	-	3q28	189746461	189837058	90598	Loss	-0.839361747323301	90598	Hetero	0.5	35667837
LRRC1	chr6	53659777	53788919	129143	+	6p12.1	53659777	53674284	14508	Normal	-0.00343985399418861	53469376	NA	NA	NA
LRRC1	chr6	53659777	53788919	129143	+	6p12.1	53689508	53788919	99412	Normal	0.0255331795301625	1112868	Unbalanced	0.477792363761245	1099565
EPHA7	chr6	93949739	94129300	179562	-	6q16.1	93949739	94069681	119943	Normal	-0.00313700056346912	39283257	Hetero	0.5	39151783
EPHA7	chr6	93949739	94129300	179562	-	6q16.1	94104527	94129300	24774	Normal	0.0465044953129306	874606	Unbalanced	0.470170341241054	859232
SYNJ2	chr6	158402887	158520207	117321	+	6q25.3	158402887	158424693	21807	Loss	-0.517146950572832	2255363	NA	NA	NA
SYNJ2	chr6	158402887	158520207	117321	+	6q25.3	158472445	158520207	47763	Normal	0.0100460685130167	12473166	Hetero	0.5	12078983
SDHAF3	chr7	96745904	96811075	65172	+	7q21.3	96745904	96766137	20234	Normal	0.0353033336537945	1561520	Unbalanced	0.475349766703752	1541032
SDHAF3	chr7	96745904	96811075	65172	+	7q21.3	96805891	96811075	5185	Normal	0.0245726198917573	62328006	Hetero	0.5	62312553
ZFPM2	chr8	106331146	106816767	485622	+	8q23.1	106331146	106338217	7072	Normal	-0.0104104645548159	106165801	NA	NA	NA
ZFPM2	chr8	106331146	106816767	485622	+	8q23.1	106365819	106816767	450949	Normal	-0.00490802898329899	937475	Unbalanced	0.469286942481995	933416
OXR1	chr8	107282405	107764921	482517	+	8q23.1	107282405	107299234	16830	Normal	-0.00490802898329899	937475	Unbalanced	0.469286942481995	933416
OXR1	chr8	107282405	107764921	482517	+	8q23.1	107308858	107764921	456064	Normal	-0.013514829188466	37620954	Hetero	0.5	37684005
CFAP77	chr9	135285582	135448706	163125	+	9q34.13	135285582	135344438	58857	Normal	-0.000909893165037208	67174018	Hetero	0.5	138122505
CFAP77	chr9	135285582	135448706	163125	+	9q34.13	135352785	135448706	95922	Gain	0.117210717680062	5701977	Hetero	0.5	138122505
RUFY2	chr10	70100863	70167051	66189	-	10q21.3	70100863	70108913	8051	Normal	0.025188841433092	499432	Unbalanced	0.465109758350253	478007
RUFY2	chr10	70100863	70167051	66189	-	10q21.3	70143774	70167051	23278	Normal	0.010978642303391	45887890	NA	NA	NA
VWA2	chr10	115999012	116054259	55248	+	10q25.3	115999012	116031663	32652	Normal	0.010978642303391	45887890	NA	NA	NA
VWA2	chr10	115999012	116054259	55248	+	10q25.3	116048203	116054259	6057	Normal	0.0400706612095681	807869	NA	NA	NA
ATRNL1	chr10	116853123	117708509	855387	+	10q25.3	116853123	116856071	2949	Normal	0.0400706612095681	807869	Unbalanced	0.468355820986132	782376
