Chromosome	Start	End	Value	nbProbes
1	754192	40340740	-1.1649	3368
1	40343432	99589399	-1.4961	4618
1	99597650	147099335	-1.1649	1903
1	147102157	197918507	-0.01595	3956
1	197929497	225265444	-0.147524675629402	2020
1	225272982	249212898	-0.01595	1935
2	21494	243052351	-0.01595	18102
3	63411	197852584	-0.01595	15037
4	69404	190915670	-0.01595	13387
5	38139	180698332	-0.01595	12360
6	204909	170913071	-0.01595	12704
7	41421	159118463	-0.01595	11975
8	172417	39223676	0.12057888540215	3501
8	39239834	39329020	-4.2157540700041	7
8	39342016	146292754	-0.01595	8441
9	204738	141054781	-0.01595	8531
10	126070	121186021	-0.01595	8673
10	121190113	135434323	0.275540041852533	1022
11	192764	134938867	-0.01595	9947
12	189400	133818135	-0.01595	10345
13	19084823	115103170	-0.01595	7934
14	20219083	107282044	-1.4961	6756
15	20161372	102397337	-1.4961	6012
16	83887	90158025	-0.01595	5834
17	400959	80263447	-0.01595	6413
18	12842	78007804	-0.01595	5595
19	247232	59093259	-0.01595	4835
20	69094	62912483	-0.01595	5091
21	9648315	48097630	-0.01595	2349
22	16054713	51213846	-1.1649	2796
