Chromosome	Start	End	Value	nbProbes
chr1	754192	120313274	-0.057156793960676	9640
chr1	120316166	121350954	-0.0806488155536284	70
chr1	144009053	173525099	-0.060961676418105	2275
chr1	173530907	183400910	-0.0261382484654442	778
chr1	183413886	223828643	-0.12647198288833	3009
chr1	223841682	249212898	-0.0630160856601911	2023
chr2	21494	90245055	-0.0692749222167066	6779
chr2	91866487	95429217	0.0824049451924001	2
chr2	95431369	217657383	-0.0812718336144276	9505
chr2	217682779	243052351	-0.0278518837268065	1812
chr3	63411	37225748	-0.062389377733879	2906
chr3	37234589	82551162	-0.0312255976279056	3883
chr3	82570259	90473641	-0.148942875645725	527
chr3	93517443	197852584	-0.0773928359144125	7716
chr4	69404	1826255	0.363408798358832	136
chr4	1827875	6276146	0.413512745288101	296
chr4	6297646	9838568	0.522284743333139	171
chr4	9839490	32927051	0.360960562548728	1559
chr4	32935426	37973742	0.263319868884337	334
chr4	37993314	46394647	0.360398845465947	642
chr4	46400331	49092474	0.374308725239774	181
chr4	52684891	55554853	0.424357800559835	265
chr4	55557984	60991909	0.393420427724439	411
chr4	61006408	152320552	0.35515982002848	6689
chr4	152322571	153188698	0.504397168640003	58
chr4	153206597	186570541	0.338453301567013	2314
chr4	186581606	190915670	0.428151845383662	328
chr5	38139	20367287	0.354686689844881	1385
chr5	20382657	25389612	0.279104762110532	332
chr5	25402825	46401291	0.320372198066631	1518
chr5	49441966	68828392	0.306631688202366	1385
chr5	70306678	168598207	0.319839244528132	6800
chr5	168612676	180698332	0.353489528807047	934
chr6	204909	46975416	-0.0482093284350106	3654
chr6	46991439	58770522	-0.0843078958028146	839
chr6	61886393	66544385	-0.135333093736188	304
chr6	66598249	170913071	-0.0559919327685768	7904
chr7	41421	58025443	-0.0833170961143966	4488
chr7	61064518	79665837	-0.0357584025477648	1184
chr7	79688157	159118463	-0.0906920240690455	6295
chr8	172417	7004167	-0.0483514245697482	1044
chr8	8094763	39064569	-0.0619075607366581	2444
chr8	39069153	39300722	-1.12817051862729	16
chr8	39313504	39480386	-1.92858932036009	12
chr8	39502217	43767554	-0.0954485216903971	349
chr8	46896972	47891375	0.0357794076185949	65
chr8	47908569	126717264	-0.0886978367385045	6465
chr8	126732285	146292754	-0.0615046479769323	1550
chr9	204738	39184085	-0.058129200930119	3216
chr9	44098813	68170441	0.0525363817999397	5
chr9	70984372	82446414	-0.0403438340435047	815
chr9	82463728	83669464	-0.162183943432291	81
chr9	83674448	141054781	-0.0381320366895291	4408
chr10	126070	3189400	0.0570569505802688	269
chr10	3205745	39023088	-0.0598675086536755	2561
chr10	39045140	39146696	0.27851988124259	7
chr10	42413322	135434323	-0.0355666140105956	6854
chr11	192764	47901289	-0.0907706731297519	3463
chr11	47923603	51575971	0.00135751638241618	198
chr11	54795357	134938867	-0.0714024794372461	6283
chr12	189400	12578806	0.349115724006519	1155
chr12	12592791	12751682	0.690211243548875	12
chr12	12773521	34828231	0.336910203007786	1682
chr12	37902988	119530444	0.330436479331581	6485
chr12	119550956	122159057	0.326583765435981	226
chr12	122186317	133818135	0.405805038391031	780
chr13	19084823	46030610	0.32034217326404	2171
chr13	46053544	66726975	0.167512446248643	1623
chr13	66751758	79160899	0.120025588388805	848
chr13	79178932	100849277	0.18183085353603	1816
chr13	100862964	103427121	0.237564987878035	260
chr13	103435250	114072408	0.202202634094371	1154
chr13	114087261	115103170	0.468516841996706	59
chr14	20219083	106576289	-0.0956538658087048	6623
chr14	106580658	107089735	0.482932590547385	95
chr14	107091742	107282044	-0.0133187748775106	35
chr15	20161372	20212818	-0.0133187748775106	6
chr15	22752399	102397337	-0.0480648469414263	6003
chr16	83887	35271745	0.38229164166331	2497
chr16	46461309	90158025	0.377980413469734	3334
chr17	400959	22217903	-0.0419612904079176	1740
chr17	25326941	80263447	-0.0388989187616296	4670
chr18	12842	15377491	0.34267387623711	1072
chr18	18554307	76257880	0.333386827294905	4393
chr18	76281338	78007804	0.442451465755454	129
chr19	247232	1402355	-0.126168211880611	198
chr19	1413078	24544340	0.0121858801489268	1922
chr19	27754573	55535992	-0.00610487264350218	2479
chr19	55540157	59093259	-0.0926212094576684	234
chr20	69094	26309275	0.355430994121769	2598
chr20	29519156	62912483	0.399342325713426	2491
chr21	9648315	10964159	-0.150266287077064	8
chr21	14344537	32432809	-0.078983747172217	1153
chr21	32447547	48097630	-0.0225848756638449	1186
chr22	16054713	21988544	-0.0152170793512324	429
chr22	22005629	40888383	-0.238267571429503	1557
chr22	40895810	48942586	-0.208783256457353	660
chr22	48962717	51213846	-0.239236402208631	148
