Chromosome	Start	End	Value	nbProbes
1	754192	145095497	-0.474	9750
1	145115883	249212898	0.018	8050
2	21494	243052351	0.035	18102
3	63411	197852584	0.028	15037
4	69404	190915670	0.064	13387
5	38139	180698332	0.007	12360
6	204909	170913071	0.017	12704
7	41421	159118463	-0.002	11975
8	172417	39254394	0.057	3503
8	39274995	39383020	-3.269	8
8	39397015	90922124	0.038	3585
8	90930168	90931354	-4.197	2
8	90939625	146292754	0.003	4851
9	204738	84495628	0.049	4176
9	84510772	84528243	-3.915	3
9	84531447	141054781	0.066	4352
10	126070	135434323	0.037	9695
11	192764	134938867	0.001	9947
12	189400	133818135	-0.002	10345
13	19084823	115103170	-0.008	7934
14	20219083	107282044	-0.555	6756
15	20161372	102397337	-0.563	6012
16	83887	90158025	0.029	5834
17	400959	80263447	0.014	6413
18	12842	78007804	0.013	5595
19	247232	59093259	-0.001	4835
20	69094	33173847	-0.013	2886
20	33186480	33197509	-5.311	2
20	33212055	60992422	0.033	2067
20	61008794	62912483	0.456	136
21	9648315	48097630	0.037	2349
22	16054713	51213846	-0.478	2796
