Chromosome	Start	End	Value	nbProbes
chr1	754192	1983228	-0.791514454780948	80
chr1	1989990	57443422	-0.603349113534335	4699
chr1	57448319	59912738	-0.742633006543368	278
chr1	59948974	73275462	-0.681865431250295	960
chr1	73305593	83289933	-0.697164132866189	699
chr1	83291754	121350954	-0.664064048732667	2994
chr1	144009053	145588204	-0.288661696623896	70
chr1	145597417	241504807	0.00861994513828874	7333
chr1	241522325	249212898	0.0618290645790713	682
chr2	21494	4294409	0.130190202492706	281
chr2	4311020	90245055	0.0161240431001346	6498
chr2	91866487	95429217	0.000441733832591959	2
chr2	95431369	217643149	-0.00128213695754002	9504
chr2	217657363	243052351	0.0515533124288657	1813
chr3	63411	90473641	0.0322553991115822	7316
chr3	93517443	118892491	-0.707668361883669	1732
chr3	118910328	125021891	-0.730790072077958	508
chr3	125030381	161945131	-0.666725837801118	2675
chr3	161961402	162595398	-1.0280613168695	43
chr3	162602984	162619290	-1.97282585635892	2
chr3	162640497	169165908	-0.689385098857698	450
chr3	169172788	197852584	-0.666665426310153	2306
chr4	69404	14936458	0.0887232814399492	939
chr4	14955398	49092474	0.0193392779790511	2380
chr4	52684891	190915670	0.0405418747720172	10065
chr5	38139	1489726	0.326830669124997	135
chr5	1503205	7838105	0.502257703666339	425
chr5	7860404	14832316	0.396205198160938	468
chr5	14855265	46401291	0.384943695531027	2207
chr5	49441966	53611527	0.405900339009694	275
chr5	53634911	68828392	0.392748415049857	1110
chr5	70306678	78275912	0.392612376916933	519
chr5	78290682	84006888	0.380192133651639	390
chr5	84023574	89882638	0.376445923535443	411
chr5	89897229	180698332	0.416998097646689	6414
chr6	204909	47168457	0.0468585532741197	3667
chr6	47192438	58770522	0.0167624435985167	826
chr6	61886393	168647409	0.0274214213248165	8063
chr6	168662527	170913071	0.191038854613398	145
chr7	41421	58025443	0.0139723901195609	4488
chr7	61064518	159118463	-3.78417230075279e-05	7479
chr8	172417	7004167	0.0534119081504468	1044
chr8	8094763	43767554	0.0159128908799248	2821
chr8	46896972	146292754	0.0103155209823379	8080
chr9	204738	39184085	0.029549856670709	3216
chr9	44098813	68170441	0.0403665186439112	5
chr9	70984372	109761424	0.0367212717333363	2878
chr9	109778256	112418313	0.107118676989135	178
chr9	112429319	141054781	0.0343357947663336	2248
chr10	126070	39146696	0.0524385940606747	2837
chr10	42413322	130641708	0.0522137633145978	6543
chr10	130656238	135434323	0.177851592419905	311
chr11	192764	51575971	-0.019735965820879	3661
chr11	54795357	134938867	-0.00362077256717084	6283
chr12	189400	34828231	0.0271340612225371	2849
chr12	37902988	133818135	0.0288787473914946	7491
chr13	19084823	115103170	-0.00199199993051952	7931
chr14	20219083	107282044	-0.342164259090109	6753
chr15	20161372	20212818	-0.633850902417679	6
chr15	22752399	102205429	-0.64908646644578	5986
chr15	102209741	102397337	0.0816261990167053	17
chr16	83887	35271745	0.0816261990167053	2497
chr16	46461309	90158025	0.0579341198763045	3334
chr17	400959	22217903	-0.623478057241021	1740
chr17	25326941	80263447	0.0467250723660451	4670
chr18	12842	15377491	0.0238721640674892	1072
chr18	18554307	78007804	-0.0162333022489112	4522
chr19	247232	1078121	0.0475762884320723	96
chr19	1098066	1310517	-0.178746861080004	96
chr19	1329639	24544340	0.0828847546425608	1928
chr19	27754573	59093259	0.0989611933608827	2713
chr20	69094	26309275	0.0420297448891758	2598
chr20	29519156	62912483	0.102066456851477	2491
chr21	9648315	10964159	0.168798092120655	8
chr21	14344537	48097630	-0.00640179416243178	2339
chr22	16054713	51213846	-0.584196607144655	2794
