Chromosome	Start	End	Value	nbProbes
1	754192	147099335	-1.73405	9889
1	147102157	249212898	0.921376279598859	7911
2	21494	78799847	-0.308659361704291	6082
2	78805057	243052351	-0.00015	12020
3	63411	197852584	-0.00015	15037
4	69404	190915670	-0.00015	13387
5	38139	180698332	-0.00015	12360
6	204909	170913071	-0.00015	12704
7	41421	159118463	-0.00015	11975
8	172417	146292754	-0.00015	11949
9	204738	141054781	-0.00015	8531
10	126070	98506852	-0.00015	7061
10	98521228	135434323	0.196876500914122	2634
11	192764	134938867	-0.00015	9947
12	189400	133818135	-0.00015	10345
13	19084823	115103170	-0.00015	7934
14	20219083	107282044	-1.73405	6756
15	20161372	102397337	-1.73405	6012
16	83887	90158025	-0.00015	5834
17	400959	17675565	-1.73405	1435
17	17700700	29903356	-0.830496485703636	703
17	29916545	80263447	-0.00015	4275
18	12842	78007804	-0.00015	5595
19	247232	59093259	-0.00015	4835
20	69094	62912483	-0.00015	5091
21	9648315	48097630	-0.00015	2349
22	16054713	23553265	-0.00015	622
22	23561186	51213846	-1.22312930302432	2174
