Chromosome	Start	End	Value	nbProbes
chr1	754192	121350954	0.0230423436124226	9710
chr1	144009053	145461786	-0.125572572561251	65
chr1	145479486	188877453	0.0150482508286296	3432
chr1	188901145	190145247	0.0709341218652961	82
chr1	190163532	249212898	-0.0283599815899214	4506
chr2	21494	90245055	-0.000840756202135147	6779
chr2	91866487	95429217	0.0533850747493442	2
chr2	95431369	97623433	-0.00850355395911822	118
chr2	97626485	98503007	0.186537135092406	39
chr2	98517626	98807050	0.515560128023936	18
chr2	98824172	243052351	0.0171619270544734	11142
chr3	63411	207671	-0.331876827738641	10
chr3	217268	90473641	0.059870489831968	7306
chr3	93517443	197852584	0.0319247079001284	7716
chr4	69404	28939132	0.0576848983436416	1900
chr4	28955155	29777422	0.421196031931149	56
chr4	29797681	49092474	0.025727476699962	1363
chr4	52684891	190915670	0.0589273877462263	10065
chr5	38139	46401291	0.00128355635505767	3235
chr5	49441966	68828392	-0.0175074622641305	1385
chr5	70306678	83182568	-0.0452944846549143	854
chr5	83188462	180698332	0.00731192563505703	6880
chr6	204909	58770522	0.0254754162598661	4493
chr6	61886393	170614576	0.0254766955418496	8188
chr6	170627614	170913071	0.506502522490028	20
chr7	41421	58025443	0.00643295020142454	4488
chr7	61064518	159118463	-0.0120589606060471	7479
chr8	172417	7004167	0.0567839415019717	1044
chr8	8094763	43767554	0.0353027908324503	2821
chr8	46896972	146292754	0.0240430242273521	8080
chr9	204738	39184085	0.0447692983826443	3216
chr9	44098813	68170441	0.140229440716969	5
chr9	70984372	141054781	0.0492159873729937	5304
chr10	126070	39146696	0.0311828651031374	2837
chr10	42413322	135434323	0.0400267352360571	6854
chr11	192764	51575971	-0.0422307192736597	3661
chr11	54795357	134938867	-0.0268655685252977	6283
chr12	189400	34828231	-0.000375986930238719	2849
chr12	37902988	133818135	0.0163390805957998	7491
chr13	19084823	115103170	0.0155946599677124	7931
chr14	20219083	67115691	-0.701117593224918	3540
chr14	67121335	67577999	-0.617531041860909	91
chr14	67580793	106576289	-0.763098739583645	2992
chr14	106580658	107282044	-0.116528681148444	130
chr15	20161372	20212818	0.166981161746812	6
chr15	22752399	102397337	0.0447487599862206	6003
chr16	83887	31363437	0.0460859414179333	2360
chr16	31376849	35271745	-0.096689721948348	137
chr16	46461309	48491972	-0.0420128331581508	146
chr16	48504364	90158025	0.0281085225032592	3188
chr17	400959	22217903	0.0279618030220087	1740
chr17	25326941	80263447	0.0181942405217345	4670
chr18	12842	15377491	0.0240665502471279	1072
chr18	18554307	78007804	0.0355313138573536	4522
chr19	247232	24544340	0.0340030148722129	2120
chr19	27754573	59093259	0.044286229967761	2713
chr20	69094	26309275	0.0074814345886938	2598
chr20	29519156	62912483	0.0397746706002974	2491
chr21	9648315	10964159	-0.0780923435005522	8
chr21	14344537	48097630	0.0559178408283189	2339
chr22	16054713	51213846	-0.697791540274685	2794
