Target Symbol	Chr	Gene Start	Gene End	Gene Width	Gene Strand	Gene Cytoband	Match Start	Match End	Match Width	L2R Status	L2R Value	L2R Segment Width	BAF Status	BAF Value	BAF Segment Width
DVL1	chr1	1270657	1284492	13836	-	1p36.33	1270657	1284492	13836	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
TNFRSF14	chr1	2487803	2497061	9259	+	1p36.32	2487803	2497061	9259	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
TNFRSF9	chr1	7975930	8003225	27296	-	1p36.23	7975930	8003225	27296	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
ERRFI1	chr1	8071778	8086393	14616	-	1p36.23	8071778	8086393	14616	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
MTOR	chr1	11166587	11322608	156022	-	1p36.22	11166587	11322608	156022	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
AGTRAP	chr1	11796141	11810828	14688	+	1p36.22	11796141	11810828	14688	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
CASP9	chr1	15817895	15851285	33391	-	1p36.21	15817895	15851285	33391	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
SPEN	chr1	16174358	16266950	92593	+	1p36.21	16174358	16266950	92593	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
EPHA8	chr1	22889994	22930087	40094	+	1p36.12	22889994	22930087	40094	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
EPHB2	chr1	23037330	23247993	210664	+	1p36.12	23037330	23247993	210664	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
ARID1A	chr1	27022521	27108601	86081	+	1p36.11	27022521	27108601	86081	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
FGR	chr1	27938800	27961727	22928	-	1p36.11	27938800	27961727	22928	Loss	-0.510053689801378	29592550	Unbalanced	0.199076551388182	29496701
LCK	chr1	32716839	32751768	34930	+	1p35.1	32716839	32751768	34930	Loss	-0.552203488985466	9786336	Unbalanced	0.191739339517222	9746220
MYCL	chr1	40361095	40367687	6593	-	1p34.2	40361095	40367687	6593	Loss	-0.544744009215603	3089200	Unbalanced	0.207095934554588	3073591
MPL	chr1	43803474	43820135	16662	+	1p34.2	43803474	43820135	16662	Loss	-0.573856761746008	10329337	Unbalanced	0.189194137851397	10122350
PLK3	chr1	45265896	45271667	5772	+	1p34.1	45265896	45271667	5772	Loss	-0.573856761746008	10329337	Unbalanced	0.189194137851397	10122350
PTCH2	chr1	45285515	45308616	23102	-	1p34.1	45285515	45308616	23102	Loss	-0.573856761746008	10329337	Unbalanced	0.189194137851397	10122350
MUTYH	chr1	45794913	45806142	11230	-	1p34.1	45794913	45806142	11230	Loss	-0.573856761746008	10329337	Unbalanced	0.189194137851397	10122350
CDKN2C	chr1	51434366	51440309	5944	+	1p32.3	51434366	51440309	5944	Loss	-0.573856761746008	10329337	Unbalanced	0.189194137851397	10122350
TACSTD2	chr1	59041094	59043166	2073	-	1p32.1	59041094	59043166	2073	Loss	-0.610509186405534	11443245	Unbalanced	0.193948648869991	11229613
JUN	chr1	59246462	59249785	3324	-	1p32.1	59246462	59249785	3324	Loss	-0.610509186405534	11443245	Unbalanced	0.193948648869991	11229613
JAK1	chr1	65298905	65533429	234525	-	1p31.3	65298905	65533429	234525	Loss	-0.610509186405534	11443245	Unbalanced	0.193948648869991	11229613
TGFBR3	chr1	92145899	92371559	225661	-	1p22.1	92145899	92371559	225661	Loss	-0.590492170646067	30976364	Unbalanced	0.200079366889929	30653094
NRAS	chr1	115247084	115259515	12432	-	1p13.2	115247084	115259515	12432	Loss	-0.563737587039632	18661026	Unbalanced	0.192511143682825	18642158
FAM46C	chr1	118148603	118171011	22409	+	1p12	118148603	118171011	22409	Loss	-0.563737587039632	18661026	Unbalanced	0.192511143682825	18642158
NOTCH2	chr1	120454175	120612317	158143	-	1p12	120454175	120525554	71380	Loss	-0.53813574863414	3146828	Unbalanced	0.20674457748731	2321448
HIST2H3D	chr1	149784779	149785236	458	-	1q21.2	149784779	149785236	458	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
HIST2H3A	chr1	149812258	149812765	508	-	1q21.2	149812258	149812765	508	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
HIST2H3C	chr1	149812258	149812765	508	-	1q21.2	149812258	149812765	508	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
HIST2H3A	chr1	149824180	149824687	508	+	1q21.2	149824180	149824687	508	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
HIST2H3C	chr1	149824180	149824687	508	+	1q21.2	149824180	149824687	508	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
MCL1	chr1	150547026	150552214	5189	-	1q21.3	150547026	150552214	5189	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
TPM3	chr1	154127779	154164611	36833	-	1q21.3	154127779	154164611	36833	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
NTRK1	chr1	156785541	156851642	66102	+	1q23.1	156785541	156851642	66102	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
DDR2	chr1	162602227	162750247	148021	+	1q23.3	162602227	162750247	148021	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
FASLG	chr1	172628147	172636012	7866	+	1q24.3	172628147	172636012	7866	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
TPR	chr1	186280785	186344457	63673	-	1q31.1	186280785	186344457	63673	Normal	-0.0161519080374114	48073229	Hetero	0.5	74592105
CDC73	chr1	193091087	193223942	132856	+	1q31.2	193091087	193223942	132856	Normal	-0.0431517378487213	27795573	Hetero	0.5	74592105
MDM4	chr1	204485506	204527248	41743	+	1q32.1	204485506	204527248	41743	Normal	-0.0431517378487213	27795573	Hetero	0.5	74592105
SLC45A3	chr1	205626980	205649630	22651	-	1q32.1	205626980	205649630	22651	Normal	-0.0431517378487213	27795573	Hetero	0.5	74592105
IKBKE	chr1	206643585	206670223	26639	+	1q32.1	206643585	206670223	26639	Normal	-0.0431517378487213	27795573	Hetero	0.5	74592105
TLR5	chr1	223282747	223316624	33878	-	1q41	223282747	223316624	33878	Normal	-0.0226036395652499	28325707	Hetero	0.5	27696176
H3F3A	chr1	226250407	226259703	9297	+	1q42.12	226250407	226259703	9297	Normal	-0.0226036395652499	28325707	Hetero	0.5	27696176
PARP1	chr1	226548391	226595801	47411	-	1q42.12	226548391	226595801	47411	Normal	-0.0226036395652499	28325707	Hetero	0.5	27696176
FH	chr1	241660856	241683085	22230	-	1q43	241660856	241683085	22230	Normal	-0.0226036395652499	28325707	Hetero	0.5	27696176
AKT3	chr1	243651534	244006886	355353	-	1q43	243651534	244006886	355353	Normal	-0.0226036395652499	28325707	Hetero	0.5	27696176
MYCN	chr2	16080559	16087129	6571	+	2p24.3	16080559	16087129	6571	Normal	-0.000936358149126591	44174253	Hetero	0.5	44019517
DNMT3A	chr2	25455829	25565459	109631	-	2p23.3	25455829	25565459	109631	Normal	-0.000936358149126591	44174253	Hetero	0.5	44019517
ALK	chr2	29415639	30144477	728839	-	2p23.2	29415639	30144477	728839	Normal	-0.000936358149126591	44174253	Hetero	0.5	44019517
STRN	chr2	37064840	37193615	128776	-	2p22.2	37064840	37193615	128776	Normal	-0.000936358149126591	44174253	Hetero	0.5	44019517
EML4	chr2	42396477	42559688	163212	+	2p21	42396477	42559688	163212	Normal	-0.000936358149126591	44174253	Hetero	0.5	44019517
PIGF	chr2	46808412	46844251	35840	-	2p21	46808412	46844251	35840	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
MSH2	chr2	47630205	47710367	80163	+	2p21	47630205	47710367	80163	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
MSH6	chr2	48010220	48034092	23873	+	2p16.3	48010220	48034092	23873	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
FANCL	chr2	58386377	58468515	82139	-	2p16.1	58386377	58468515	82139	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
BCL11A	chr2	60678301	60780633	102333	-	2p16.1	60678301	60780633	102333	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
XPO1	chr2	61705068	61765418	60351	-	2p15	61705068	61765418	60351	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
