Chromosome	Start	End	Value	nbProbes
1	754192	147093907	-1.5442	9888
1	147099315	171903905	-0.0427	1979
1	171913424	198165399	-0.9432	1999
1	198172403	249212898	-0.0427	3934
2	21494	6304658	-0.0427	442
2	6318487	17954667	-0.9432	919
2	17957920	138158386	-0.0427	8399
2	138188080	141766601	-0.62545	753
2	141766849	243052351	-0.0427	7589
3	63411	20848724	-1.5442	1667
3	20856539	80809079	0.0946	5016
3	80820333	155241760	-1.5442	5065
3	155266104	157992383	-0.62545	208
3	158007123	197852584	-0.0427	3081
4	69404	190915670	-0.0427	13387
5	38139	180698332	-0.0427	12360
6	204909	170913071	-0.0427	12704
7	41421	159118463	-0.0427	11975
8	172417	146292754	-0.0427	11949
9	204738	118659318	-0.0427	6705
9	118669361	129690272	0.21825	879
9	129702967	141054781	-0.0427	947
10	126070	121122202	-0.0427	8669
10	121139331	135434323	0.21825	1026
11	192764	134938867	-0.0427	9947
12	189400	133818135	-0.0427	10345
13	19084823	115103170	-0.0427	7934
14	20219083	107282044	0.0946	6756
15	20161372	102397337	-1.5442	6012
16	83887	90158025	-0.0427	5834
17	400959	80263447	-0.0427	6413
18	12842	78007804	-1.5442	5595
19	247232	59093259	-0.0427	4835
20	69094	62912483	-0.0427	5091
21	9648315	48097630	0.0946	2349
22	16054713	47169290	-1.5442	2528
22	47173574	51213846	-0.9432	268
