Chromosome	Start	End	Value	nbProbes
chr1	754192	9508975	-0.572868101100627	728
chr1	9512701	49431929	-0.593933378217336	3461
chr1	49446508	51499545	-0.488088893575242	162
chr1	51504333	103379938	-0.623366476613426	3916
chr1	103409100	106570917	-0.591520460856923	205
chr1	106581139	107579315	-0.61959826853979	69
chr1	107596120	107989334	-0.515050645171922	77
chr1	107990065	110822063	-0.54693498615399	237
chr1	110831331	112621773	-0.650357760663073	144
chr1	112628860	116771089	-0.0708150269845116	357
chr1	116776586	121350954	0.0069566158235187	354
chr1	144009053	145382361	-0.232715531741677	58
chr1	145394955	249212898	0.0321747642172808	8027
chr2	21494	3163758	0.160359444748206	212
chr2	3168392	88304166	0.0186747654607227	6443
chr2	88309625	90245055	-0.0247248054733121	124
chr2	91866487	95429217	0.0223867053336408	2
chr2	95431369	96857567	0.117619574174176	72
chr2	96859034	214097796	0.0155894713089175	9181
chr2	214115898	243052351	0.111888639761026	2064
chr3	63411	47282323	0.0783127198612573	3639
chr3	47292183	48140654	0.06227890745489	59
chr3	48156635	70999814	0.0992394036829383	2199
chr3	71006989	90473641	0.0099739503302626	1419
chr3	93517443	197852584	0.0301699630156019	7716
chr4	69404	9688504	0.157995350203387	596
chr4	9716113	49092474	0.0416546752472956	2723
chr4	52684891	190915670	0.0506716581827109	10065
chr5	38139	8061299	0.487221738852112	574
chr5	8067216	46401291	0.372331805177823	2661
chr5	49441966	51388908	0.359900111256015	127
chr5	51401580	68828392	0.365463689280575	1258
chr5	70306678	96567410	0.363958367109421	1757
chr5	96582060	178741137	0.392257423111622	5835
chr5	178761358	180698332	0.520990070294293	142
chr6	204909	57184133	0.0417045742845659	4397
chr6	57189484	58770522	-0.0521874917949617	96
chr6	61886393	170913071	0.0152635094532945	8208
chr7	41421	58025443	0.0212764418958537	4488
chr7	61064518	159118463	0.00523422779348323	7479
chr8	172417	7004167	0.0830120285751732	1044
chr8	8094763	42549667	0.04171700580821	2721
chr8	42559586	43767554	0.0127208056688587	100
chr8	46896972	47782157	0.105726163830127	58
chr8	47788120	101712984	0.0830346965528342	3963
chr8	101722366	146292754	0.0389450672394793	4059
chr9	204738	39184085	0.0502180171210501	3216
chr9	44098813	68170441	0.227114557409828	5
chr9	70984372	141054781	0.0859383128893423	5304
chr10	126070	39146696	0.0336701824373379	2837
chr10	42413322	135434323	0.0756783178362829	6854
chr11	192764	51575971	-0.00233299665505628	3661
chr11	54795357	134938867	0.0039900778698023	6283
chr12	189400	34828231	0.02182627655608	2849
chr12	37902988	133818135	0.0596844253368303	7491
chr13	19084823	115103170	-0.135422016771731	7931
chr14	20219083	38875102	-0.564114434604631	1489
chr14	38888730	47534326	-0.531386164600868	560
chr14	47548647	62536706	-0.613961845871335	1098
chr14	62544366	67883644	-0.529617487442057	515
chr14	67897061	83218374	-0.600172226657191	1184
chr14	83231703	92505620	-0.600821150071438	631
chr14	92506697	106522514	-0.591722248563675	1134
chr14	106526221	107282044	-0.691761941880683	142
chr15	20161372	20212818	0.108767689023508	6
chr15	22752399	33259872	0.00957813565010982	633
chr15	33281953	41376168	-0.57347717051477	661
chr15	41397179	41630790	-0.120617495997685	17
chr15	41647775	45814326	-0.521825710543213	287
chr15	45818786	51439968	-0.595474600252669	382
chr15	51458102	102397337	-0.608297687699197	4023
chr16	83887	35271745	0.0849425872782884	2497
chr16	46461309	89170441	0.0837153913633923	3179
chr16	89191264	90158025	0.0344063541115521	155
chr17	400959	22217903	0.0670064669968922	1740
chr17	25326941	80263447	0.0650786008674015	4670
chr18	12842	15377491	0.0152398442962294	1072
chr18	18554307	78007804	0.0442100214630995	4522
chr19	247232	24237614	0.0673818937277388	2099
chr19	24241135	24544340	0.00493033412693909	21
chr19	27754573	59093259	0.0757247824524496	2713
chr20	69094	21116322	0.0355196188488491	2268
chr20	21142813	26309275	0.138997674022176	330
chr20	29519156	62912483	0.101374278032152	2491
chr21	9648315	10964159	-0.277821910052677	8
chr21	14344537	15921650	-0.170200016305493	59
chr21	15930173	48097630	0.0165098307416943	2280
chr22	16054713	51213846	-0.531222350456878	2794
