Chromosome	Start	End	Value	nbProbes
1	754192	49574595	-1.6343	4200
1	49591523	58767449	-0.1276	672
1	58773286	73806598	-1.6343	1182
1	73830471	81344223	-0.82835	524
1	81344558	98724350	-1.6343	1345
1	98734233	105288393	-0.82835	465
1	105288434	249212898	0.0044	9412
2	21494	243052351	0.0044	18102
3	63411	197852584	0.0044	15037
4	69404	190915670	0.0044	13387
5	38139	18011625	0.1223	1234
5	18020347	180698332	0.0044	11126
6	204909	170913071	0.0044	12704
7	41421	159118463	0.0044	11975
8	172417	128765381	0.0044	10621
8	128766080	146292754	-1.6343	1328
9	204738	141054781	0.0044	8531
10	126070	50189969	-0.3445	3275
10	50217438	65374097	-0.1276	1077
10	65393613	121139351	0.1223	4318
10	121151332	135434323	0.379524645941186	1025
11	192764	134938867	-1.6343	9947
12	189400	118216595	0.0044	9239
12	118229731	133818135	0.1223	1106
13	19084823	115103170	-0.3445	7934
14	20219083	41604154	-1.6343	1653
14	41626649	41657147	-6.5129	3
14	41673714	66472796	-1.6343	1823
14	66489457	67810053	-0.3445	181
14	67830856	89036539	-1.6343	1578
14	89053874	107282044	-0.3445	1518
15	20161372	102397337	-1.6343	6012
16	83887	90158025	0.0044	5834
17	400959	80263447	0.0044	6413
18	12842	29059436	-1.6343	1863
18	29068068	78007804	0.0044	3732
19	247232	59093259	-0.1276	4835
20	69094	62912483	0.0044	5091
21	9648315	48097630	0.0044	2349
22	16054713	24341408	-1.6343	700
22	24346428	24370928	-6.5129	12
22	24372758	51213846	-1.6343	2084
