Chromosome	Start	End	Value	nbProbes
1	754192	950697	-0.169	14
1	958905	113448486	-0.939	9048
1	113454571	249212898	-0.017	8738
2	21494	34689455	0.03	2760
2	34701638	34725225	-3.848	3
2	34741001	243052351	0.003	15339
3	63411	197852584	-0.008	15037
4	69404	190915670	0.029	13387
5	38139	180698332	-0.016	12360
6	204909	170913071	-0.001	12704
7	41421	46076095	-0.006	3491
7	46089002	46098502	-3.462	2
7	46120720	159118463	-0.019	8482
8	172417	90922124	-0.033	7096
8	90930168	90931354	-3.464	2
8	90939625	146292754	-0.017	4851
9	204738	141054781	0.02	8531
10	126070	135434323	0.017	9695
11	192764	134938867	-0.019	9947
12	189400	133818135	0.003	10345
13	19084823	115103170	0	7934
14	20219083	41604154	0.046	1653
14	41626649	41657147	-3.288	3
14	41673714	107282044	0.016	5100
15	20161372	30367275	0.067	484
15	30967896	102397337	-0.995	5528
16	83887	90158025	0.032	5834
17	400959	80263447	0.02	6413
18	12842	78007804	0.014	5595
19	247232	59093259	-0.016	4835
20	69094	62912483	0.013	5091
21	9648315	48097630	0.028	2349
22	16054713	24341408	-0.829	700
22	24346428	24390338	-2.624	20
22	24394088	51213846	-0.875	2076
