probeID	CHROMOSOME	START_POS	END_POS	2-AD
S-tag133716	1	754192	754212	-0.8736541
S-tag312652	1	2090816	2090836	-0.1376938
S-tag279581	1	3147030	3147050	-0.166857
S-tag146085	1	3737540	3737560	-0.2238813
S-tag249302	1	4888012	4888032	-0.3714558
S-tag031273	1	6248784	6248804	-0.5858842
S-tag160227	1	7571996	7572016	-0.4180886
S-tag243765	1	9069001	9069021	-0.6111765
S-tag093307	1	10098028	10098048	-0.6532338
S-tag264523	1	11232225	11232245	-0.2371856
S-tag185456	1	11847861	11847881	-0.7525338
S-tag150094	1	13825195	13825215	-0.8468228
S-tag136612	1	15264699	15264719	-0.4760391
S-tag153983	1	16448442	16448462	-0.5983911
S-tag057349	1	17647986	17648006	-0.5314333
S-tag285762	1	17945813	17945833	-0.4918148
S-tag283741	1	18910590	18910610	-0.4428991
S-tag071359	1	19989666	19989686	-0.6352883
S-tag228195	1	21421813	21421833	-0.939198
S-tag068249	1	22826564	22826584	-0.6342034
S-tag207842	1	23849346	23849366	-0.6696683
S-tag190359	1	25188940	25188960	-0.663824
S-tag043205	1	26403098	26403118	-0.5036365
S-tag192958	1	27445285	27445305	-0.5200639
S-tag158517	1	28452889	28452909	-1.110188
S-tag023904	1	29632600	29632620	-0.3933972
S-tag245796	1	31214820	31214840	-0.4898974
S-tag244093	1	32356815	32356835	-0.6950685
S-tag188108	1	33560338	33560358	-0.4048868
S-tag239916	1	34958515	34958535	-0.422682
S-tag044520	1	36107510	36107530	-0.3685186
S-tag090437	1	37146466	37146486	-0.3630004
S-tag019310	1	38533001	38533021	-0.7353091
S-tag287612	1	39506141	39506161	-0.3750189
S-tag217465	1	40479274	40479294	-0.6800845
S-tag180825	1	41840197	41840217	-1.789675
S-tag037497	1	43239395	43239415	-0.6211752
S-tag321907	1	44102587	44102607	-0.5568163
S-tag061728	1	45321563	45321583	-1.809735
S-tag145350	1	46275648	46275668	-0.7898872
S-tag231114	1	47176818	47176838	-0.8432029
S-tag242624	1	48227943	48227963	-1.044062
S-tag175139	1	49591523	49591543	-0.7903229
S-tag085315	1	50972015	50972035	-0.8835835
S-tag312472	1	51964705	51964725	-0.8992191
S-tag039531	1	53461473	53461493	-0.5231549
