Chromosome	Start	End	Value	nbProbes
1	754192	1564214	-0.815	54
1	1592881	1628926	-3.057	4
1	1647814	145095497	-0.773	9692
1	145115883	249212898	-0.022	8050
2	21494	243052351	-0.022	18102
3	63411	93517463	-0.002	7320
3	93530364	197852584	-0.834	7717
4	69404	190915670	0.011	13387
5	38139	180698332	0.414	12360
6	204909	103728178	0.002	7456
6	103737920	103753814	-3.893	2
6	103766477	170913071	0.01	5246
7	41421	46076095	-0.027	3491
7	46089002	46098502	-3.567	2
7	46120720	159118463	-0.033	8482
8	172417	90922124	-0.009	7096
8	90930168	90931354	-3.202	2
8	90939625	146292754	-0.028	4851
9	204738	141054781	0.002	8531
10	126070	135434323	0.024	9695
11	192764	134938867	-0.048	9947
12	189400	133818135	0.001	10345
13	19084823	115103170	-0.034	7934
14	20219083	41604154	-0.406	1653
14	41626649	41657147	-3.872	3
14	41673714	107282044	-0.426	5100
15	20161372	102397337	-0.782	6012
16	83887	90158025	0.038	5834
17	400959	22217903	-0.759	1741
17	25326941	80263447	0.007	4672
18	12842	78007804	-0.043	5595
19	247232	59093259	0.046	4835
20	69094	62912483	0.035	5091
21	9648315	48097630	-0.046	2349
22	16054713	51213846	-0.714	2796
