Chromosome	Start	End	Value	nbProbes
chr1	754192	19399911	-0.528282131610264	1652
chr1	19405237	108161617	-0.600590536159817	6997
chr1	108176508	113279871	-0.55991460388205	399
chr1	113297767	116569234	-0.531127485173184	297
chr1	116583622	121350954	-0.5409386918212	365
chr1	144009053	145414478	0.0381917543095342	61
chr1	145428332	170364421	0.398135537452078	1965
chr1	170365623	176536909	0.357944212264879	507
chr1	176540780	182104209	0.497459010061178	404
chr1	182131118	249212898	0.373319105386022	5148
chr2	21494	4048085	0.0365122309000128	266
chr2	4072803	49114251	-0.0703932512031177	3660
chr2	49124040	49972414	-0.0719874056958103	56
chr2	49982478	60000414	-0.0760486060488418	673
chr2	60025963	61140824	-0.104783390571173	144
chr2	61141507	90245055	-0.0894917117408573	1980
chr2	91866487	95429217	-0.0803613396341587	2
chr2	95431369	243052351	0.0591454401993491	11317
chr3	63411	32688273	0.0641009655207184	2567
chr3	32704743	83496795	0.0956614457888195	4276
chr3	83536650	85606982	-0.0533347627081122	131
chr3	85621010	90473641	-0.0204948044418259	342
chr3	93517443	120980895	0.0926192064640795	1968
chr3	120993793	143471852	0.135480700764412	1664
chr3	143489747	192919393	0.0387705739649278	3710
chr3	192931043	197852584	0.0732736380928511	374
chr4	69404	11924848	0.123582774121938	745
chr4	11929082	18174613	0.0883724785087732	414
chr4	18187742	49092474	0.0271334468275082	2160
chr4	52684891	73781027	0.0639864701040254	1604
chr4	73801915	74408582	0.112389895450648	40
chr4	74426173	190915670	0.0618514874574956	8421
chr5	38139	7503143	0.0996937282029155	537
chr5	7517418	46401291	0.0108879644575658	2698
chr5	49441966	68828392	0.0209331896884285	1385
chr5	70306678	71065692	-0.0459764482614466	37
chr5	71081080	180698332	0.0180586994720439	7697
chr6	204909	58770522	0.051259615887572	4493
chr6	61886393	170913071	0.0217569746156608	8208
chr7	41421	58025443	0.0341747458976271	4488
chr7	61064518	159118463	0.00883286851262163	7479
chr8	172417	7004167	0.101039412062892	1044
chr8	8094763	43767554	0.0557060584982919	2821
chr8	46896972	146292754	0.0308546968300659	8080
chr9	204738	39184085	0.0610476854575896	3216
chr9	44098813	68170441	0.0463585866182925	5
chr9	70984372	141054781	0.074619658299665	5304
chr10	126070	39146696	0.0453698782438029	2837
chr10	42413322	117425243	0.0609057693368148	5584
chr10	117441174	135434323	0.132985724933034	1270
chr11	192764	51575971	0.00643836649441666	3661
chr11	54795357	134938867	0.0221241928303984	6283
chr12	189400	33507001	0.0285816207530772	2757
chr12	33510115	34533104	0.0464446366155469	70
chr12	34545307	34828231	0.0759741560407475	22
chr12	37902988	127073062	0.0215106640411132	7080
chr12	127087230	133818135	0.126300414960457	411
chr13	19084823	19509451	-0.126619173140478	27
chr13	19523734	97721897	0.0060552312203058	6140
chr13	97732153	115103170	0.0432622134178484	1764
chr14	20219083	27409520	-0.603449605337416	620
chr14	27414184	30694415	-0.570028855976852	218
chr14	30706026	38492104	-0.610105993334725	632
chr14	38511831	55758180	-0.58124230317534	1177
chr14	55772536	81067658	-0.627658239530077	2034
chr14	81087894	93616868	-0.629426842161479	885
chr14	93619422	107229715	-0.592594601077822	1175
chr14	107231967	107282044	-0.648412001983979	12
chr15	20161372	20212818	-0.648412001983979	6
chr15	22752399	58062021	-0.601457670430858	2522
chr15	58077923	102397337	-0.628455332105305	3481
chr16	83887	35271745	0.0534356765511164	2497
chr16	46461309	90158025	0.0495128819972187	3334
chr17	400959	22217903	-0.630565327820841	1740
chr17	25326941	80263447	0.0571462863568162	4670
chr18	12842	15377491	0.0348829862113927	1072
chr18	18554307	78007804	0.038917745705803	4522
chr19	247232	24544340	0.0622124569170459	2120
chr19	27754573	59093259	0.0916372734815776	2713
chr20	69094	18060289	0.0231818574531842	2068
chr20	18078552	26309275	0.0908254048212129	530
chr20	29519156	62912483	0.0879323258697182	2491
chr21	9648315	10964159	-0.542630657379013	8
chr21	14344537	48097630	0.0640760489902868	2339
chr22	16054713	22973853	0.0151625823976035	575
chr22	23003385	25461472	-0.241733024495559	224
chr22	25465142	30014601	-0.521413729142947	344
chr22	30018200	30946091	-0.478554029912334	71
chr22	30961048	51213846	-0.436216687930059	1580
