Chromosome	Start	End	Value	nbProbes
1	754192	930397	-0.377	13
1	950677	145402374	-0.784	9760
1	145414458	249212898	-0.002	8027
2	21494	34689455	-0.646	2760
2	34701638	34725225	-3.636	3
2	34741001	91866507	-0.671	4018
2	95429197	243052351	0.066	11321
3	63411	197852584	0.003	15037
4	69404	190915670	0.032	13387
5	38139	180698332	0.001	12360
6	204909	170913071	0.006	12704
7	41421	159118463	-0.006	11975
8	172417	90922124	0.001	7096
8	90930168	90931354	-3.393	2
8	90939625	146292754	-0.007	4851
9	204738	141054781	0.017	8531
10	126070	135434323	0.026	9695
11	192764	134938867	-0.003	9947
12	189400	866228	-0.004	70
12	868828	873038	-3.654	6
12	876288	133818135	0.001	10269
13	19084823	57748990	0.012	3187
13	57760137	57776791	-3.55	2
13	57797989	115103170	0.006	4745
14	20219083	107282044	0.016	6756
15	20161372	102397337	0.025	6012
16	83887	90158025	0.02	5834
17	400959	80263447	0.013	6413
18	12842	78007804	0.021	5595
19	247232	59093259	-0.002	4835
20	69094	62912483	0.011	5091
21	9648315	48097630	0.023	2349
22	16054713	51213846	0.014	2796
