Chromosome	Start	End	Value	nbProbes
1	754192	249212898	0	17800
2	21494	243052351	0	18102
3	63411	197852584	0	15037
4	69404	190915670	0	13387
5	38139	180698332	0	12360
6	204909	170913071	0	12704
7	41421	46076095	0	3491
7	46089002	46098502	-2	2
7	46120720	159118463	0	8482
8	172417	90922124	0	7096
8	90930168	90931354	-2	2
8	90939625	146292754	0	4851
9	204738	141054781	0	8531
10	126070	135434323	0	9695
11	192764	134938867	0	9947
12	189400	133818135	0	10345
13	19084823	115103170	0	7934
14	20219083	20400600	1	10
14	20425220	107282044	-1	6746
15	20161372	102397337	0	6012
16	83887	90158025	0	5834
17	400959	80263447	0	6413
18	12842	78007804	0	5595
19	247232	59093259	0	4835
20	69094	33173847	0	2886
20	33186480	33197509	-2	2
20	33212055	62912483	0	2203
21	9648315	48097630	0	2349
22	16054713	51213846	0	2796
