Chromosome	Start	End	Value	nbProbes
1	754192	147093907	-1.8939	9888
1	147099315	249212898	-0.00985	7912
2	21494	243052351	-0.00985	18102
3	63411	197852584	-0.00985	15037
4	69404	190915670	-0.00985	13387
5	38139	180698332	-0.00985	12360
6	204909	170913071	-0.00985	12704
7	41421	159118463	0.0936	11975
8	172417	146292754	-0.00985	11949
9	204738	141054781	-0.00985	8531
10	126070	135434323	-0.00985	9695
11	192764	46570879	-1.8939	3365
11	46594237	50479723	-0.80395149663664	256
11	50493930	65335725	-0.119830384345371	821
11	65354150	134938867	-0.00985	5505
12	189400	133818135	-0.00985	10345
13	19084823	115103170	-1.8939	7934
14	20219083	88618922	-1.8939	5210
14	88632321	88671668	-6.78995	4
14	88693988	107282044	-1.8939	1542
15	20161372	33685865	0.0936	665
15	33699956	78730333	-0.00985	3409
15	78742754	102397337	0.0936	1938
16	83887	90158025	-0.00985	5834
17	400959	80263447	-0.00985	6413
18	12842	78007804	-0.00985	5595
19	247232	6572816	-0.340445861027305	584
19	6585298	59093259	-0.00985	4251
20	69094	62912483	-0.00985	5091
21	9648315	48097630	-0.00985	2349
22	16054713	24341408	-1.8939	700
22	24346428	24390338	-6.78995	20
22	24394088	51213846	-1.8939	2076
