SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
55	1	754192	145095477	9750	TotalCN	1	-0.564	0.196	75	2	5-LD.OSCHP
56	1	145115883	249212878	8050	TotalCN	2	-0.025	0.487	75	2	5-LD.OSCHP
57	2	21494	243052331	18102	TotalCN	2	-0.011	0.486	75	2	5-LD.OSCHP
58	3	63411	189746461	14437	TotalCN	2	-0.005	0.487	75	2	5-LD.OSCHP
59	3	189750286	189842525	20	TotalCN	1	-0.824	NaN	75	2	5-LD.OSCHP
60	3	189845631	197852564	580	TotalCN	2	-0.014	0.487	75	2	5-LD.OSCHP
61	4	69404	1586036	101	TotalCN	2	0	0.491	75	2	5-LD.OSCHP
62	4	1610872	1785738	20	TotalCN	1	-0.385	NaN	75	2	5-LD.OSCHP
63	4	1787978	190915650	13266	TotalCN	2	0.011	0.487	75	2	5-LD.OSCHP
64	5	38139	180698312	12360	TotalCN	2	-0.018	0.486	75	2	5-LD.OSCHP
65	6	204909	156153635	11464	TotalCN	2	0	0.487	75	2	5-LD.OSCHP
66	6	156169331	158405309	143	TotalCN	1	-0.524	0.257	75	2	5-LD.OSCHP
67	6	158424693	170913051	1097	TotalCN	2	0.006	0.488	75	2	5-LD.OSCHP
68	7	41421	159118443	11975	TotalCN	2	0.029	0.485	75	2	5-LD.OSCHP
69	8	172417	113485802	8914	TotalCN	2	-0.011	0.486	75	2	5-LD.OSCHP
70	8	113486771	113505364	20	TotalCN	3	0.2	NaN	75	2	5-LD.OSCHP
71	8	113506152	146292734	3015	TotalCN	2	-0.005	0.488	75	2	5-LD.OSCHP
72	9	204738	141054761	8531	TotalCN	2	-0.003	0.487	75	2	5-LD.OSCHP
73	10	126070	135434303	9695	TotalCN	2	0.011	0.487	75	2	5-LD.OSCHP
74	11	192764	51196206	3640	TotalCN	1	-0.571	0.189	75	2	5-LD.OSCHP
75	11	51198718	134938847	6307	TotalCN	2	-0.006	0.486	75	2	5-LD.OSCHP
76	12	189400	133818115	10345	TotalCN	2	-0.016	0.487	75	2	5-LD.OSCHP
77	13	19084823	115103150	7934	TotalCN	1	-0.564	0.19	75	2	5-LD.OSCHP
78	14	20219083	88450770	5199	TotalCN	1	-0.598	0.19	75	2	5-LD.OSCHP
79	14	88472672	88716607	18	TotalCN	0	-2.272	NaN	75	2	5-LD.OSCHP
80	14	88734104	107282024	1539	TotalCN	1	-0.576	0.193	75	2	5-LD.OSCHP
81	15	20161372	102397317	6012	TotalCN	2	0.001	0.488	75	2	5-LD.OSCHP
82	16	83887	90158005	5834	TotalCN	2	0.009	0.488	75	2	5-LD.OSCHP
83	17	400959	80263427	6413	TotalCN	2	0	0.487	75	2	5-LD.OSCHP
84	18	12842	78007784	5595	TotalCN	2	0.001	0.486	75	2	5-LD.OSCHP
85	19	247232	1225825	158	TotalCN	2	-0.115	0.489	75	2	5-LD.OSCHP
86	19	1226772	1310497	34	TotalCN	1	-0.524	NaN	75	2	5-LD.OSCHP
87	19	1329639	13043451	1001	TotalCN	2	-0.012	0.487	75	2	5-LD.OSCHP
88	19	13062663	13213967	18	TotalCN	1	-0.242	NaN	75	2	5-LD.OSCHP
89	19	13221838	50356145	2969	TotalCN	2	0.017	0.486	75	2	5-LD.OSCHP
90	19	50357189	50402593	19	TotalCN	1	-0.325	NaN	75	2	5-LD.OSCHP
91	19	50404939	59093239	636	TotalCN	2	0.018	0.486	75	2	5-LD.OSCHP
92	20	69094	62912463	5091	TotalCN	2	0.023	0.487	75	2	5-LD.OSCHP
93	21	9648315	48097610	2349	TotalCN	2	0.013	0.486	75	2	5-LD.OSCHP
94	22	16054713	24341388	700	TotalCN	1	-0.463	0.251	75	2	5-LD.OSCHP
95	22	24346428	24390318	20	TotalCN	0	-2.23	NaN	75	2	5-LD.OSCHP
96	22	24394088	51213826	2076	TotalCN	1	-0.473	0.248	75	2	5-LD.OSCHP
97	24	177942	2686899	108	TotalCN	2	-0.018	NaN	75	2	5-LD.OSCHP
98	24	2699968	154929412	11063	TotalCN	1	-0.771	NaN	75	2	5-LD.OSCHP
99	24	154979673	155219364	19	TotalCN	2	0.055	0.491	75	2	5-LD.OSCHP
100	25	2660163	28799935	614	TotalCN	1	-0.726	NaN	75	2	5-LD.OSCHP
1	1	754192	121350934	9085	LOH	1	-	-	75	2	5-LD.OSCHP
2	1	144009053	147830492	223	LOH	0	-	-	75	2	5-LD.OSCHP
3	1	149044448	249212878	7779	LOH	0	-	-	75	2	5-LD.OSCHP
4	2	21494	90245035	6247	LOH	0	-	-	75	2	5-LD.OSCHP
5	2	91866487	91866487	1	LOH	0	-	-	75	2	5-LD.OSCHP
6	2	95429197	243052331	10746	LOH	0	-	-	75	2	5-LD.OSCHP
7	3	63411	90473621	7267	LOH	0	-	-	75	2	5-LD.OSCHP
8	3	93517443	129201692	2533	LOH	0	-	-	75	2	5-LD.OSCHP
9	3	129227238	131815899	162	LOH	1	-	-	75	2	5-LD.OSCHP
10	3	131838077	197852564	5008	LOH	0	-	-	75	2	5-LD.OSCHP
11	4	71566	49092454	3083	LOH	0	-	-	75	2	5-LD.OSCHP
12	4	52684891	190915650	9184	LOH	0	-	-	75	2	5-LD.OSCHP
13	5	38139	46401271	3231	LOH	0	-	-	75	2	5-LD.OSCHP
14	5	49441966	68828372	1383	LOH	0	-	-	75	2	5-LD.OSCHP
15	5	70306678	180698312	7721	LOH	0	-	-	75	2	5-LD.OSCHP
16	6	204909	58770502	3830	LOH	0	-	-	75	2	5-LD.OSCHP
17	6	61886393	155965183	6386	LOH	0	-	-	75	2	5-LD.OSCHP
18	6	155982996	158724990	177	LOH	1	-	-	75	2	5-LD.OSCHP
19	6	158740347	170913051	1069	LOH	0	-	-	75	2	5-LD.OSCHP
20	7	41421	58011645	4475	LOH	0	-	-	75	2	5-LD.OSCHP
21	7	61064518	159118443	7442	LOH	0	-	-	75	2	5-LD.OSCHP
22	8	172417	7004147	1044	LOH	0	-	-	75	2	5-LD.OSCHP
23	8	8094763	43751375	2811	LOH	0	-	-	75	2	5-LD.OSCHP
24	8	46896972	146292734	8062	LOH	0	-	-	75	2	5-LD.OSCHP
25	9	204738	39184065	3213	LOH	0	-	-	75	2	5-LD.OSCHP
26	9	44098813	44893094	4	LOH	0	-	-	75	2	5-LD.OSCHP
27	9	68170421	68170421	1	LOH	0	-	-	75	2	5-LD.OSCHP
28	9	70984372	141054761	5300	LOH	0	-	-	75	2	5-LD.OSCHP
29	10	126070	39146676	2836	LOH	0	-	-	75	2	5-LD.OSCHP
30	10	42413322	135434303	6838	LOH	0	-	-	75	2	5-LD.OSCHP
31	11	192764	51575951	3654	LOH	1	-	-	75	2	5-LD.OSCHP
