Chromosome	Start	End	Value	nbProbes
1	754192	147099335	-1.8301	9889
1	147102157	249212898	0.063	7911
2	21494	243052351	0.063	18102
3	63411	414070	-0.2922	52
3	419574	80773012	0.063	6628
3	80779795	90473641	-0.2922	639
3	93517443	197852584	-1.8301	7718
4	69404	190915670	0.063	13387
5	38139	160234920	1.12364321704056	10863
5	160276677	180698332	1.28573392965116	1497
6	204909	170913071	0.063	12704
7	41421	159118463	0.063	11975
8	172417	146292754	0.063	11949
9	204738	141054781	0.063	8531
10	126070	135434323	0.063	9695
11	192764	134938867	0.063	9947
12	189400	118509211	0.063	9262
12	118527534	133818135	0.19975	1083
13	19084823	30014393	0.063	873
13	30036352	107005587	-0.2922	6222
13	107014305	115103170	0.063	839
14	20219083	41601038	-0.9947	1652
14	41604134	41635388	-7.05074262547549	3
14	41657127	107282044	-0.9947	5101
15	20161372	102397337	-1.8301	6012
16	83887	90158025	0.063	5834
17	400959	22217903	-1.8301	1741
17	25326941	80263447	0.063	4672
18	12842	78007804	0.063	5595
19	247232	59093259	0.19975	4835
20	69094	62912483	0.063	5091
21	9648315	48097630	0.063	2349
22	16054713	51213846	-1.8301	2796
