Chromosome	Start	End	Value	nbProbes
1	754192	145115903	-0.695	9751
1	145117984	249212898	-0.003	8049
2	21494	243052351	-0.027	18102
3	63411	197852584	0.014	15037
4	69404	190915670	-0.247	13387
5	38139	180698332	0.009	12360
6	204909	170913071	-0.719	12704
7	41421	159118463	-0.003	11975
8	172417	46939180	0.026	3871
8	46944913	90922124	0.914	3225
8	90930168	90931354	-3.163	2
8	90939625	146292754	0.867	4851
9	204738	141054781	-0.703	8531
10	126070	135434323	0.034	9695
11	192764	134938867	-0.014	9947
12	189400	133818135	0.009	10345
13	19084823	115103170	0.013	7934
14	20219083	107282044	-0.724	6756
15	20161372	102397337	-0.719	6012
16	83887	90158025	-0.251	5834
17	400959	80263447	0.046	6413
18	12842	78007804	-0.709	5595
19	247232	59093259	0.001	4835
20	69094	62912483	0.05	5091
21	9648315	48097630	0.025	2349
22	16054713	24341408	-0.63	700
22	24346428	24390338	-3.391	20
22	24394088	51213846	-0.686	2076
