Chromosome	Start	End	Value	nbProbes
1	754192	145118004	-0.36	9752
1	145205788	148544988	-0.018	204
1	149044448	149674812	-2.934	15
1	149742045	249212898	-0.017	7829
2	21494	243052351	0	18102
3	63411	26414103	0.02	2101
3	26436178	197852584	-0.367	12936
4	69404	190915670	0.034	13387
5	38139	180698332	-0.008	12360
6	204909	170913071	0.016	12704
7	41421	46076095	-0.001	3491
7	46089002	46098502	-3.453	2
7	46120720	159118463	-0.037	8482
8	172417	90922124	0	7096
8	90930168	90931354	-3.348	2
8	90939625	146292754	-0.008	4851
9	204738	141054781	0.033	8531
10	126070	135434323	0.018	9695
11	192764	50766382	-0.403	3637
11	51191702	134938867	-0.03	6310
12	189400	133818135	0.002	10345
13	19084823	19617789	-0.244	34
13	19630156	41954477	0.007	1865
13	41969553	42389524	-0.463	29
13	42399540	48131865	0.024	437
13	48149769	52762689	-0.335	492
13	52772190	54028638	-0.003	82
13	54034731	115103170	-0.364	4995
14	20219083	22534283	-0.401	237
14	22542032	26046197	0.055	293
14	26071631	107282044	-0.361	6226
15	20161372	102397337	0.011	6012
16	83887	90158025	-0.007	5834
17	400959	80263447	0.011	6413
18	12842	78007804	-0.004	5595
19	247232	59093259	-0.023	4835
20	69094	33173847	-0.015	2886
20	33186480	33197509	-4.672	2
20	33212055	62912483	0.032	2203
21	9648315	48097630	0.03	2349
22	16054713	17285969	0.095	23
22	17304246	48552183	-0.355	2598
22	48574496	51213846	0.065	175
