Chromosome	Start	End	Value	nbProbes
1	754192	950697	NA	14
1	958905	113448486	-1	9048
1	113454571	249212898	1	8738
2	21494	34689455	2	2760
2	34701638	34725225	-2	3
2	34741001	243052351	2	15339
3	63411	197852584	1	15037
4	69404	190915670	1	13387
5	38139	180698332	1	12360
6	204909	170913071	1	12704
7	41421	159118463	1	11975
8	172417	90922124	NA	7096
8	90930168	90931354	-2	2
8	90939625	146292754	2	4851
9	204738	141054781	1	8531
10	126070	135434323	1	9695
11	192764	134938867	NA	9947
12	189400	133818135	1	10345
13	19084823	115103170	1	7934
14	20219083	41604154	2	1653
14	41626649	41657147	-2	3
14	41673714	107282044	2	5100
15	20161372	30367275	1	484
15	30967896	102397337	-1	5528
16	83887	90158025	1	5834
17	400959	80263447	1	6413
18	12842	78007804	1	5595
19	247232	59093259	1	4835
20	69094	62912483	1	5091
21	9648315	48097630	1	2349
22	16054713	24341408	-1	700
22	24346428	24390338	-2	20
22	24394088	51213846	-1	2076
