Chromosome	Start	End	Value	nbProbes
1	754192	98688669	-1.6455	7921
1	98706711	147099335	-0.980925723475422	1968
1	147102157	249212898	0.0554	7911
2	21494	243052351	0.0554	18102
3	63411	197852584	0.0554	15037
4	69404	190915670	0.0554	13387
5	38139	180698332	0.957820716008913	12360
6	204909	170913071	0.0554	12704
7	41421	159118463	0.0554	11975
8	172417	146292754	0.0554	11949
9	204738	141054781	0.0554	8531
10	126070	135434323	0.0554	9695
11	192764	134938867	0.0554	9947
12	189400	118229751	0.0554	9240
12	118247233	133818135	0.310038354088405	1105
13	19084823	115103170	-0.39023194447656	7934
14	20219083	107282044	-1.6455	6756
15	20161372	33699976	0.0554	666
15	33714822	102397337	-1.6455	5346
16	83887	90158025	0.0554	5834
17	400959	80263447	0.0554	6413
18	12842	78007804	0.0554	5595
19	247232	59093259	0.0554	4835
20	69094	62912483	0.0554	5091
21	9648315	48097630	0.0554	2349
22	16054713	51213846	-1.6455	2796
