Chromosome	Start	End	Value	nbProbes
1	754192	7865487	0	620
1	7879130	10768022	-1	226
1	10787538	12295208	0	208
1	12342599	12867067	-1	34
1	12903548	12922420	-2	5
1	13181849	73400547	-1	4934
1	73417564	249212898	0	11773
2	21494	34689455	0	2760
2	34701638	34725225	-2	3
2	34741001	243052351	0	15339
3	63411	197852584	0	15037
4	69404	190915670	0	13387
5	38139	180698332	0	12360
6	204909	170913071	0	12704
7	41421	159118463	0	11975
8	172417	39254394	0	3503
8	39274995	39383020	-2	8
8	39397015	90922124	0	3585
8	90930168	90931354	-2	2
8	90939625	146292754	0	4851
9	204738	84495628	0	4176
9	84510772	84528243	-1	3
9	84531447	138756392	0	4127
9	138765791	140159702	-1	130
9	140164376	141054781	0	95
10	126070	135434323	0	9695
11	192764	134938867	0	9947
12	189400	133818135	0	10345
13	19084823	115103170	0	7934
14	20219083	107282044	0	6756
15	20161372	34671081	0	743
15	34729987	34808793	-2	6
15	34870223	39887868	0	387
15	39896067	102397337	-1	4876
16	83887	90158025	0	5834
17	400959	981259	-1	39
17	1002846	3838646	0	248
17	3852055	7978771	-1	388
17	7988844	80263447	0	5738
18	12842	9192328	0	683
18	9202855	9506532	-1	21
18	9522808	10540452	0	67
18	10557670	10708521	1	12
18	10728047	11336750	0	41
18	11356122	33676127	-1	1376
18	33686203	42736888	0	615
18	42751755	44529623	-1	125
18	44536304	45776905	0	87
18	45790019	50778757	-1	525
18	50791960	65231579	0	1167
18	65248907	69453164	-1	300
18	69472330	78007804	0	576
19	247232	5188900	0	482
19	5205718	9419147	-1	395
19	9434872	12125365	0	242
19	12137020	15397180	-1	289
19	15403778	59093259	0	3427
20	69094	62912483	0	5091
21	9648315	48097630	0	2349
22	16054713	51213846	0	2796
