Chromosome	Start	End	Value	nbProbes
chr1	754192	121350954	0.0231305462290511	9710
chr1	144009053	190460598	0.018461080519788	3600
chr1	190466822	191595558	0.0106277584873121	78
chr1	191615014	249212898	-0.00973242110787621	4407
chr2	21494	90245055	0.0191417123896781	6779
chr2	91866487	95429217	0.00844663469433481	2
chr2	95431369	214117323	0.0227344911775029	9255
chr2	214137152	214700511	0.0435828384774567	37
chr2	214720010	243052351	0.0483734801374203	2025
chr3	63411	395522	-0.0261506646502436	48
chr3	401533	71029428	0.0543345180422271	5856
chr3	71036994	90473641	0.00682498822092233	1412
chr3	93517443	197852584	0.0131388848114963	7716
chr4	69404	49092474	0.0318818740374424	3319
chr4	52684891	190915670	0.0486611399715567	10065
chr5	38139	46401291	-0.000423010326592073	3235
chr5	49441966	68828392	0.0190966953691645	1385
chr5	70306678	180698332	-0.000773457361222644	7734
chr6	204909	556126	0.0940955166786964	45
chr6	580362	56370580	0.0103570720909448	4298
chr6	56387256	58770522	0.010327311825835	150
chr6	61886393	64190222	-0.0357027590759918	144
chr6	64227756	170913071	0.0223982735308281	8064
chr7	41421	2867316	-0.0703485822601901	253
chr7	2882262	58025443	0.00990339195230116	4235
chr7	61064518	159118463	-0.000982334505031719	7479
chr8	172417	7004167	0.0469151024366812	1044
chr8	8094763	43767554	0.0133884173594285	2821
chr8	46896972	146292754	0.0128203180459791	8080
chr9	204738	39184085	0.0269560114939674	3216
chr9	44098813	68170441	0.0964824758046995	5
chr9	70984372	141054781	0.0309832776797096	5304
chr10	126070	39146696	0.0210379324179706	2837
chr10	42413322	135434323	0.0360594754036377	6854
chr11	192764	51575971	-0.0135918848393401	3661
chr11	54795357	134938867	-0.00747378386331257	6283
chr12	189400	34828231	0.0182607638870936	2849
chr12	37902988	97115121	0.00754489523183398	4791
chr12	97128845	97311841	0.326006570552142	14
chr12	97321211	133818135	0.00585321005830145	2686
chr13	19084823	115103170	0.0202327062671957	7931
chr14	20219083	20604969	0.00257053069161501	22
chr14	20622221	22094974	-0.438337351390617	114
chr14	22099589	23645738	-0.492111116708313	237
chr14	23664646	54607782	-0.443301966065946	2198
chr14	54630278	99524430	-0.485971624309527	3431
chr14	99545385	107282044	-0.460685705531227	751
chr15	20161372	20212818	-0.0293663017959971	6
chr15	22752399	46326006	0.0476784177555313	1640
chr15	46328370	47380997	0.159020209199697	71
chr15	47407214	102397337	0.0322387763584939	4292
chr16	83887	35271745	0.0239875182412577	2497
chr16	46461309	90158025	0.0178618288198975	3334
chr17	400959	22217903	0.0248488786575124	1740
chr17	25326941	80263447	0.0242888643149521	4670
chr18	12842	15377491	0.0142869359567501	1072
chr18	18554307	78007804	0.021537010759572	4522
chr19	247232	17321507	0.00157476199425508	1568
chr19	17339947	17441508	-0.584304748352231	8
chr19	17464411	24544340	0.0548987713971989	544
chr19	27754573	28555406	-0.0599207005555796	47
chr19	28566063	59093259	0.031657660915807	2666
chr20	69094	26309275	0.00888176814650017	2598
chr20	29519156	62912483	0.0316021040184647	2491
chr21	9648315	10964159	-0.0776070340442238	8
chr21	14344537	48097630	0.0275331858805922	2339
chr22	16054713	51213846	0.0162235490882732	2794
