Chromosome	Start	End	Value	nbProbes
chr1	754192	7879150	0.0149647564425667	621
chr1	7890264	10814211	-0.618489287400644	228
chr1	10831408	12342619	0.0721764010310824	206
chr1	12368336	73417584	-0.650386100942881	4971
chr1	73426642	104907482	0.0045879536814581	2334
chr1	104924585	121350954	0.0396555894416229	1350
chr1	144009053	249212898	-0.00635047951969096	8085
chr2	21494	90245055	-0.00310897009530033	6779
chr2	91866487	95429217	0.114204955014673	2
chr2	95431369	243052351	0.00411890526255552	11317
chr3	63411	90473641	0.0169179412241431	7316
chr3	93517443	95087291	-0.0682690885141548	104
chr3	95101155	197852584	-0.00865468375759785	7612
chr4	69404	49092474	0.0149949422455901	3319
chr4	52684891	190915670	0.0198072879023631	10065
chr5	38139	46401291	-0.00710862210891826	3235
chr5	49441966	68828392	-0.0108554970987052	1385
chr5	70306678	143570861	-0.0106764670152389	5049
chr5	143583909	144882502	0.0363675038341917	91
chr5	144899133	180698332	0.00920996823560532	2594
chr6	204909	58770522	0.0110155298574563	4493
chr6	61886393	170913071	0.00321585332257251	8208
chr7	41421	2607488	-0.102626391215584	236
chr7	2623801	58025443	0.00429528583066787	4252
chr7	61064518	159118463	-0.010607833490313	7479
chr8	172417	7004167	0.0415900475149389	1044
chr8	8094763	43767554	0.000597794881912213	2821
chr8	46896972	141658934	0.0188463377283679	7699
chr8	141666413	146292754	-0.0770347245770236	381
chr9	204738	39184085	0.0120066640006908	3216
chr9	44098813	44893114	0.185306040297094	4
chr9	68170421	70984392	-0.15078599681393	2
chr9	70990396	141054781	0.024504943115294	5303
chr10	126070	39146696	0.0071072022611671	2837
chr10	42413322	135434323	0.0277044593509353	6854
chr11	192764	2777212	-0.216921658690835	204
chr11	2789062	16418731	-0.112111548000179	1018
chr11	16437974	51575971	-0.0479118195961234	2439
chr11	54795357	134938867	-0.0200405849787351	6283
chr12	189400	34828231	0.00169043247839301	2849
chr12	37902988	133818135	0.018118230624126	7491
chr13	19084823	66222711	0.007032567519136	3761
chr13	66233325	67709502	0.0123330380856645	104
chr13	67721500	115103170	0.0110843052121376	4066
chr14	20219083	84403868	0.0363607405463391	4925
chr14	84412770	86168897	0.0376396822654753	118
chr14	86190589	107282044	0.0246980979616664	1710
chr15	20161372	20212818	0.134895579125116	6
chr15	22752399	34730007	0.095556632611691	738
chr15	34750304	34916608	-0.609137267576999	9
chr15	34931364	39887868	0.0253755438474567	383
chr15	39896067	47380997	-0.618933206882427	581
chr15	47407214	52893166	-0.693606701784758	416
chr15	52911335	54882088	-0.660063909854716	132
chr15	54898631	102397337	-0.677732746571624	3744
chr16	83887	35271745	0.0503192780691219	2497
chr16	46461309	90158025	0.0341573820262921	3334
chr17	400959	1098744	-0.533733808286084	47
chr17	1125144	1196108	0.133388976834755	6
chr17	1210501	3838646	0.0141268603651805	234
chr17	3852055	7960645	-0.647926602819175	387
chr17	7978751	22217903	0.0258823903610596	1066
chr17	25326941	77631095	0.0413285737882066	4320
chr17	77635587	80263447	-0.0506097553477324	350
chr18	12842	11336750	0.018803719987875	824
chr18	11356122	11362607	-0.474697394181954	2
chr18	11385531	11783324	-0.66774627284508	26
chr18	11802991	11949318	-0.628935350538486	11
chr18	11972439	15377491	0.0081125820498677	209
chr18	18554307	21789367	-0.202426438281682	216
chr18	21817735	24281841	-0.120430152342008	219
chr18	24286681	26901336	-0.080226379387655	208
chr18	26919393	33383811	-0.619381222880968	466
chr18	33398911	33676127	-0.514487178154971	19
chr18	33686203	42703686	0.0378969462414523	613
chr18	42716752	44573874	-0.63593468682197	129
chr18	44577461	44624876	0.0398286292120378	4
chr18	44637106	45022733	-0.0318906008882003	27
chr18	45047670	45425987	0.0239423037509762	29
chr18	45434036	45804261	-0.019210177030796	26
chr18	45821540	50778757	-0.624148684974514	523
chr18	50791960	65231579	0.0393829848793061	1167
chr18	65248907	65668815	-0.466676129224319	29
chr18	65675885	67429681	-0.59120310721121	119
chr18	67431378	69320378	-0.612052747429608	144
chr18	69327949	78007804	0.045561727623177	584
chr19	247232	5188900	-0.0286177521635263	482
chr19	5205718	9450205	-0.650713122459092	397
chr19	9454173	11925114	-0.0304951063550935	227
chr19	11938262	15198651	-0.505966988897928	268
chr19	15217882	15317522	-0.167873760253632	19
chr19	15321221	16713352	-0.0720473675957251	115
chr19	16724314	24544340	0.156044053844599	612
chr19	27754573	28618716	-0.0444583407439697	51
chr19	28629186	59093259	0.044078095314118	2662
chr20	69094	24572822	0.0120600017492077	2495
chr20	24594269	26309275	0.0104118743104761	103
chr20	29519156	62912483	0.0494883875876544	2491
chr21	9648315	10964159	-0.209029441314981	8
chr21	14344537	48097630	0.0238799975590696	2339
chr22	16054713	51213846	0.0440213409895548	2794
